tau=2
t=0 	r=1 	x_E=1 	Err=0
t=2 	r=1.31831 	r_E=1.2793 	Err=0.0390055
t=4 	r=1.55976 	r_E=1.50773 	Err=0.0520363
t=6 	r=1.76384 	r_E=1.70583 	Err=0.0580077
t=8 	r=1.9443 	r_E=1.88321 	Err=0.0610932
t=10 	r=2.10802 	r_E=2.04526 	Err=0.0627546
t=12 	r=2.25902 	r_E=2.19539 	Err=0.063631
t=14 	r=2.39992 	r_E=2.33588 	Err=0.0640425
t=16 	r=2.53256 	r_E=2.46839 	Err=0.0641647
t=18 	r=2.65824 	r_E=2.59414 	Err=0.0641647
t=20 	r=2.77799 	r_E=2.71407 	Err=0.0641647
t=22 	r=2.89257 	r_E=2.82893 	Err=0.0641647
t=24 	r=3.00261 	r_E=2.93929 	Err=0.0641647
t=26 	r=3.10863 	r_E=3.04566 	Err=0.0641647
t=28 	r=3.21102 	r_E=3.14844 	Err=0.0641647
t=30 	r=3.31015 	r_E=3.24797 	Err=0.0641647
t=32 	r=3.40631 	r_E=3.34454 	Err=0.0641647
t=34 	r=3.49976 	r_E=3.43839 	Err=0.0641647
t=36 	r=3.59071 	r_E=3.52975 	Err=0.0641647
t=38 	r=3.67936 	r_E=3.61881 	Err=0.0641647
t=40 	r=3.76587 	r_E=3.70572 	Err=0.0641647
t=42 	r=3.8504 	r_E=3.79065 	Err=0.0641647
t=44 	r=3.93307 	r_E=3.87371 	Err=0.0641647
t=46 	r=4.014 	r_E=3.95503 	Err=0.0641647
t=48 	r=4.0933 	r_E=4.03471 	Err=0.0641647
t=50 	r=4.17106 	r_E=4.11285 	Err=0.0641647
t=52 	r=4.24738 	r_E=4.18952 	Err=0.0641647
t=54 	r=4.32232 	r_E=4.26483 	Err=0.0641647
t=56 	r=4.39596 	r_E=4.33882 	Err=0.0641647
t=58 	r=4.46837 	r_E=4.41157 	Err=0.0641647
t=60 	r=4.53961 	r_E=4.48315 	Err=0.0641647
t=62 	r=4.60973 	r_E=4.55359 	Err=0.0641647
t=64 	r=4.67878 	r_E=4.62297 	Err=0.0641647
t=66 	r=4.74681 	r_E=4.69132 	Err=0.0641647
t=68 	r=4.81387 	r_E=4.75868 	Err=0.0641647
t=70 	r=4.87999 	r_E=4.82511 	Err=0.0641647
t=72 	r=4.94522 	r_E=4.89064 	Err=0.0641647
t=74 	r=5.00959 	r_E=4.95529 	Err=0.0641647
t=76 	r=5.07313 	r_E=5.01912 	Err=0.0641647
t=78 	r=5.13587 	r_E=5.08214 	Err=0.0641647
t=80 	r=5.19785 	r_E=5.14439 	Err=0.0641647
t=82 	r=5.25909 	r_E=5.2059 	Err=0.0641647
t=84 	r=5.31961 	r_E=5.26669 	Err=0.0641647
t=86 	r=5.37945 	r_E=5.32679 	Err=0.0641647
t=88 	r=5.43862 	r_E=5.38621 	Err=0.0641647
t=90 	r=5.49715 	r_E=5.44499 	Err=0.0641647
t=92 	r=5.55505 	r_E=5.50314 	Err=0.0641647
t=94 	r=5.61236 	r_E=5.56068 	Err=0.0641647
t=96 	r=5.66907 	r_E=5.61763 	Err=0.0641647
t=98 	r=5.72522 	r_E=5.67401 	Err=0.0641647
t=100 	r=5.78082 	r_E=5.72983 	Err=0.0641647
t=102 	r=5.83588 	r_E=5.78512 	Err=0.0641647
t=104 	r=5.89042 	r_E=5.83988 	Err=0.0641647
t=106 	r=5.94446 	r_E=5.89414 	Err=0.0641647
t=108 	r=5.99801 	r_E=5.9479 	Err=0.0641647
t=110 	r=6.05108 	r_E=6.00117 	Err=0.0641647
t=112 	r=6.10368 	r_E=6.05398 	Err=0.0641647
t=114 	r=6.15583 	r_E=6.10633 	Err=0.0641647
t=116 	r=6.20754 	r_E=6.15824 	Err=0.0641647
t=118 	r=6.25882 	r_E=6.20972 	Err=0.0641647
t=120 	r=6.30968 	r_E=6.26077 	Err=0.0641647
t=122 	r=6.36013 	r_E=6.3114 	Err=0.0641647
t=124 	r=6.41017 	r_E=6.36164 	Err=0.0641647
t=126 	r=6.45983 	r_E=6.41148 	Err=0.0641647
t=128 	r=6.50911 	r_E=6.46093 	Err=0.0641647
t=130 	r=6.55801 	r_E=6.51001 	Err=0.0641647
t=132 	r=6.60655 	r_E=6.55873 	Err=0.0641647
t=134 	r=6.65473 	r_E=6.60708 	Err=0.0641647
t=136 	r=6.70256 	r_E=6.65508 	Err=0.0641647
t=138 	r=6.75005 	r_E=6.70274 	Err=0.0641647
t=140 	r=6.79721 	r_E=6.75007 	Err=0.0641647
t=142 	r=6.84404 	r_E=6.79706 	Err=0.0641647
t=144 	r=6.89054 	r_E=6.84373 	Err=0.0641647
t=146 	r=6.93674 	r_E=6.89008 	Err=0.0641647
t=148 	r=6.98263 	r_E=6.93613 	Err=0.0641647
t=150 	r=7.02821 	r_E=6.98187 	Err=0.0641647
t=152 	r=7.0735 	r_E=7.02731 	Err=0.0641647
t=154 	r=7.1185 	r_E=7.07246 	Err=0.0641647
t=156 	r=7.16322 	r_E=7.11733 	Err=0.0641647
t=158 	r=7.20766 	r_E=7.16191 	Err=0.0641647
t=160 	r=7.25182 	r_E=7.20622 	Err=0.0641647
t=162 	r=7.29571 	r_E=7.25026 	Err=0.0641647
t=164 	r=7.33934 	r_E=7.29403 	Err=0.0641647
t=166 	r=7.38271 	r_E=7.33754 	Err=0.0641647
t=168 	r=7.42583 	r_E=7.38079 	Err=0.0641647
t=170 	r=7.46869 	r_E=7.42379 	Err=0.0641647
t=172 	r=7.51131 	r_E=7.46655 	Err=0.0641647
t=174 	r=7.55369 	r_E=7.50906 	Err=0.0641647
t=176 	r=7.59583 	r_E=7.55133 	Err=0.0641647
t=178 	r=7.63774 	r_E=7.59336 	Err=0.0641647
t=180 	r=7.67941 	r_E=7.63517 	Err=0.0641647
t=182 	r=7.72086 	r_E=7.67674 	Err=0.0641647
t=184 	r=7.76209 	r_E=7.7181 	Err=0.0641647
t=186 	r=7.8031 	r_E=7.75923 	Err=0.0641647
t=188 	r=7.84389 	r_E=7.80014 	Err=0.0641647
t=190 	r=7.88447 	r_E=7.84085 	Err=0.0641647
t=192 	r=7.92484 	r_E=7.88134 	Err=0.0641647
t=194 	r=7.96501 	r_E=7.92162 	Err=0.0641647
t=196 	r=8.00497 	r_E=7.9617 	Err=0.0641647
t=198 	r=8.04474 	r_E=8.00158 	Err=0.0641647
t=200 	r=8.0843 	r_E=8.04127 	Err=0.0641647
t=202 	r=8.12368 	r_E=8.08075 	Err=0.0641647
t=204 	r=8.16286 	r_E=8.12005 	Err=0.0641647
t=206 	r=8.20186 	r_E=8.15916 	Err=0.0641647
t=208 	r=8.24066 	r_E=8.19808 	Err=0.0641647
t=210 	r=8.27929 	r_E=8.23681 	Err=0.0641647
t=212 	r=8.31774 	r_E=8.27537 	Err=0.0641647
t=214 	r=8.35601 	r_E=8.31374 	Err=0.0641647
t=216 	r=8.3941 	r_E=8.35194 	Err=0.0641647
t=218 	r=8.43202 	r_E=8.38997 	Err=0.0641647
t=220 	r=8.46977 	r_E=8.42782 	Err=0.0641647
t=222 	r=8.50735 	r_E=8.46551 	Err=0.0641647
t=224 	r=8.54477 	r_E=8.50302 	Err=0.0641647
t=226 	r=8.58202 	r_E=8.54038 	Err=0.0641647
t=228 	r=8.61911 	r_E=8.57757 	Err=0.0641647
t=230 	r=8.65604 	r_E=8.6146 	Err=0.0641647
t=232 	r=8.69282 	r_E=8.65147 	Err=0.0641647
t=234 	r=8.72943 	r_E=8.68818 	Err=0.0641647
t=236 	r=8.7659 	r_E=8.72474 	Err=0.0641647
t=238 	r=8.80221 	r_E=8.76115 	Err=0.0641647
t=240 	r=8.83837 	r_E=8.79741 	Err=0.0641647
t=242 	r=8.87439 	r_E=8.83352 	Err=0.0641647
t=244 	r=8.91025 	r_E=8.86948 	Err=0.0641647
t=246 	r=8.94598 	r_E=8.90529 	Err=0.0641647
t=248 	r=8.98156 	r_E=8.94096 	Err=0.0641647
t=250 	r=9.017 	r_E=8.9765 	Err=0.0641647
