tau=0.015625
t=0 	x=0.1 	r_E=0.1 	Err=0
t=0.015625 	r=0.122368 	r_E=0.122367 	Err=9.26003e-07
t=0.03125 	r=0.141235 	r_E=0.141234 	Err=9.91972e-07
t=0.046875 	r=0.157864 	r_E=0.157863 	Err=9.91972e-07
t=0.0625 	r=0.172901 	r_E=0.1729 	Err=9.91972e-07
t=0.078125 	r=0.18673 	r_E=0.18673 	Err=9.91972e-07
t=0.09375 	r=0.199604 	r_E=0.199603 	Err=9.91972e-07
t=0.109375 	r=0.211697 	r_E=0.211696 	Err=9.91972e-07
t=0.125 	r=0.223135 	r_E=0.223134 	Err=9.91972e-07
t=0.140625 	r=0.234014 	r_E=0.234014 	Err=9.91972e-07
t=0.15625 	r=0.24441 	r_E=0.244409 	Err=9.91972e-07
t=0.171875 	r=0.254381 	r_E=0.254381 	Err=9.91972e-07
t=0.1875 	r=0.263976 	r_E=0.263976 	Err=9.91972e-07
t=0.203125 	r=0.273234 	r_E=0.273234 	Err=9.91972e-07
t=0.21875 	r=0.282189 	r_E=0.282188 	Err=9.91972e-07
t=0.234375 	r=0.290868 	r_E=0.290867 	Err=9.91972e-07
t=0.25 	r=0.299295 	r_E=0.299295 	Err=9.91972e-07
t=0.265625 	r=0.307492 	r_E=0.307492 	Err=9.91972e-07
t=0.28125 	r=0.315476 	r_E=0.315475 	Err=9.91972e-07
t=0.296875 	r=0.323262 	r_E=0.323262 	Err=9.91972e-07
t=0.3125 	r=0.330866 	r_E=0.330865 	Err=9.91972e-07
t=0.328125 	r=0.338298 	r_E=0.338298 	Err=9.91972e-07
t=0.34375 	r=0.345571 	r_E=0.345571 	Err=9.91972e-07
t=0.359375 	r=0.352694 	r_E=0.352693 	Err=9.91972e-07
t=0.375 	r=0.359676 	r_E=0.359675 	Err=9.91972e-07
t=0.390625 	r=0.366524 	r_E=0.366524 	Err=9.91972e-07
t=0.40625 	r=0.373248 	r_E=0.373247 	Err=9.91972e-07
t=0.421875 	r=0.379852 	r_E=0.379851 	Err=9.91972e-07
t=0.4375 	r=0.386343 	r_E=0.386343 	Err=9.91972e-07
t=0.453125 	r=0.392727 	r_E=0.392727 	Err=9.91972e-07
t=0.46875 	r=0.399009 	r_E=0.399008 	Err=9.91972e-07
t=0.484375 	r=0.405193 	r_E=0.405193 	Err=9.91972e-07
t=0.5 	r=0.411285 	r_E=0.411285 	Err=9.91972e-07
t=0.515625 	r=0.417287 	r_E=0.417287 	Err=9.91972e-07
t=0.53125 	r=0.423205 	r_E=0.423205 	Err=9.91972e-07
t=0.546875 	r=0.429041 	r_E=0.42904 	Err=9.91972e-07
t=0.5625 	r=0.434798 	r_E=0.434798 	Err=9.91972e-07
t=0.578125 	r=0.440481 	r_E=0.44048 	Err=9.91972e-07
t=0.59375 	r=0.446091 	r_E=0.44609 	Err=9.91972e-07
t=0.609375 	r=0.451631 	r_E=0.45163 	Err=9.91972e-07
t=0.625 	r=0.457104 	r_E=0.457104 	Err=9.91972e-07
t=0.640625 	r=0.462512 	r_E=0.462512 	Err=9.91972e-07
t=0.65625 	r=0.467858 	r_E=0.467858 	Err=9.91972e-07
t=0.671875 	r=0.473144 	r_E=0.473143 	Err=9.91972e-07
t=0.6875 	r=0.478371 	r_E=0.47837 	Err=9.91972e-07
t=0.703125 	r=0.483541 	r_E=0.483541 	Err=9.91972e-07
t=0.71875 	r=0.488657 	r_E=0.488657 	Err=9.91972e-07
t=0.734375 	r=0.49372 	r_E=0.493719 	Err=9.91972e-07
t=0.75 	r=0.498731 	r_E=0.498731 	Err=9.91972e-07
t=0.765625 	r=0.503693 	r_E=0.503692 	Err=9.91972e-07
t=0.78125 	r=0.508606 	r_E=0.508606 	Err=9.91972e-07
t=0.796875 	r=0.513472 	r_E=0.513472 	Err=9.91972e-07
t=0.8125 	r=0.518292 	r_E=0.518292 	Err=9.91972e-07
t=0.828125 	r=0.523069 	r_E=0.523068 	Err=9.91972e-07
t=0.84375 	r=0.527801 	r_E=0.527801 	Err=9.91972e-07
t=0.859375 	r=0.532492 	r_E=0.532492 	Err=9.91972e-07
t=0.875 	r=0.537142 	r_E=0.537142 	Err=9.91972e-07
t=0.890625 	r=0.541752 	r_E=0.541752 	Err=9.91972e-07
t=0.90625 	r=0.546323 	r_E=0.546323 	Err=9.91972e-07
t=0.921875 	r=0.550856 	r_E=0.550856 	Err=9.91972e-07
t=0.9375 	r=0.555352 	r_E=0.555352 	Err=9.91972e-07
t=0.953125 	r=0.559812 	r_E=0.559812 	Err=9.91972e-07
t=0.96875 	r=0.564237 	r_E=0.564236 	Err=9.91972e-07
t=0.984375 	r=0.568627 	r_E=0.568627 	Err=9.91972e-07
t=1 	r=0.572984 	r_E=0.572983 	Err=9.91972e-07
t=1.01563 	r=0.577307 	r_E=0.577307 	Err=9.91972e-07
t=1.03125 	r=0.581599 	r_E=0.581599 	Err=9.91972e-07
t=1.04688 	r=0.585859 	r_E=0.585859 	Err=9.91972e-07
t=1.0625 	r=0.590089 	r_E=0.590088 	Err=9.91972e-07
t=1.07813 	r=0.594288 	r_E=0.594288 	Err=9.91972e-07
t=1.09375 	r=0.598458 	r_E=0.598458 	Err=9.91972e-07
t=1.10938 	r=0.602599 	r_E=0.602599 	Err=9.91972e-07
t=1.125 	r=0.606712 	r_E=0.606711 	Err=9.91972e-07
t=1.14063 	r=0.610797 	r_E=0.610796 	Err=9.91972e-07
t=1.15625 	r=0.614855 	r_E=0.614854 	Err=9.91972e-07
t=1.17188 	r=0.618886 	r_E=0.618886 	Err=9.91972e-07
t=1.1875 	r=0.622891 	r_E=0.622891 	Err=9.91972e-07
t=1.20313 	r=0.626871 	r_E=0.62687 	Err=9.91972e-07
t=1.21875 	r=0.630825 	r_E=0.630825 	Err=9.91972e-07
t=1.23438 	r=0.634755 	r_E=0.634755 	Err=9.91972e-07
t=1.25 	r=0.638661 	r_E=0.638661 	Err=9.91972e-07
t=1.26563 	r=0.642543 	r_E=0.642543 	Err=9.91972e-07
t=1.28125 	r=0.646401 	r_E=0.646401 	Err=9.91972e-07
t=1.29688 	r=0.650237 	r_E=0.650237 	Err=9.91972e-07
t=1.3125 	r=0.65405 	r_E=0.65405 	Err=9.91972e-07
t=1.32813 	r=0.657842 	r_E=0.657841 	Err=9.91972e-07
t=1.34375 	r=0.661611 	r_E=0.661611 	Err=9.91972e-07
t=1.35938 	r=0.665359 	r_E=0.665359 	Err=9.91972e-07
t=1.375 	r=0.669086 	r_E=0.669086 	Err=9.91972e-07
t=1.39063 	r=0.672793 	r_E=0.672792 	Err=9.91972e-07
t=1.40625 	r=0.676479 	r_E=0.676479 	Err=9.91972e-07
t=1.42188 	r=0.680145 	r_E=0.680145 	Err=9.91972e-07
t=1.4375 	r=0.683791 	r_E=0.683791 	Err=9.91972e-07
t=1.45313 	r=0.687419 	r_E=0.687418 	Err=9.91972e-07
t=1.46875 	r=0.691027 	r_E=0.691027 	Err=9.91972e-07
t=1.48438 	r=0.694616 	r_E=0.694616 	Err=9.91972e-07
t=1.5 	r=0.698187 	r_E=0.698187 	Err=9.91972e-07
t=1.51563 	r=0.70174 	r_E=0.70174 	Err=9.91972e-07
t=1.53125 	r=0.705275 	r_E=0.705274 	Err=9.91972e-07
t=1.54688 	r=0.708792 	r_E=0.708792 	Err=9.91972e-07
t=1.5625 	r=0.712292 	r_E=0.712292 	Err=9.91972e-07
t=1.57813 	r=0.715774 	r_E=0.715774 	Err=9.91972e-07
t=1.59375 	r=0.71924 	r_E=0.71924 	Err=9.91972e-07
t=1.60938 	r=0.72269 	r_E=0.722689 	Err=9.91972e-07
t=1.625 	r=0.726122 	r_E=0.726122 	Err=9.91972e-07
t=1.64063 	r=0.729539 	r_E=0.729539 	Err=9.91972e-07
t=1.65625 	r=0.73294 	r_E=0.73294 	Err=9.91972e-07
t=1.67188 	r=0.736325 	r_E=0.736325 	Err=9.91972e-07
t=1.6875 	r=0.739695 	r_E=0.739694 	Err=9.91972e-07
t=1.70313 	r=0.743049 	r_E=0.743049 	Err=9.91972e-07
t=1.71875 	r=0.746388 	r_E=0.746388 	Err=9.91972e-07
t=1.73438 	r=0.749713 	r_E=0.749712 	Err=9.91972e-07
t=1.75 	r=0.753022 	r_E=0.753022 	Err=9.91972e-07
t=1.76563 	r=0.756318 	r_E=0.756317 	Err=9.91972e-07
t=1.78125 	r=0.759598 	r_E=0.759598 	Err=9.91972e-07
t=1.79688 	r=0.762865 	r_E=0.762865 	Err=9.91972e-07
t=1.8125 	r=0.766118 	r_E=0.766118 	Err=9.91972e-07
t=1.82813 	r=0.769357 	r_E=0.769357 	Err=9.91972e-07
t=1.84375 	r=0.772583 	r_E=0.772583 	Err=9.91972e-07
t=1.85938 	r=0.775795 	r_E=0.775795 	Err=9.91972e-07
t=1.875 	r=0.778994 	r_E=0.778994 	Err=9.91972e-07
t=1.89063 	r=0.78218 	r_E=0.782179 	Err=9.91972e-07
t=1.90625 	r=0.785352 	r_E=0.785352 	Err=9.91972e-07
t=1.92188 	r=0.788513 	r_E=0.788512 	Err=9.91972e-07
t=1.9375 	r=0.79166 	r_E=0.79166 	Err=9.91972e-07
t=1.95313 	r=0.794795 	r_E=0.794795 	Err=9.91972e-07
t=1.96875 	r=0.797918 	r_E=0.797918 	Err=9.91972e-07
t=1.98438 	r=0.801028 	r_E=0.801028 	Err=9.91972e-07
t=2 	r=0.804127 	r_E=0.804127 	Err=9.91972e-07
t=2.01563 	r=0.807214 	r_E=0.807213 	Err=9.91972e-07
t=2.03125 	r=0.810288 	r_E=0.810288 	Err=9.91972e-07
t=2.04688 	r=0.813352 	r_E=0.813351 	Err=9.91972e-07
t=2.0625 	r=0.816403 	r_E=0.816403 	Err=9.91972e-07
t=2.07813 	r=0.819444 	r_E=0.819444 	Err=9.91972e-07
t=2.09375 	r=0.822473 	r_E=0.822473 	Err=9.91972e-07
t=2.10938 	r=0.825491 	r_E=0.825491 	Err=9.91972e-07
t=2.125 	r=0.828498 	r_E=0.828498 	Err=9.91972e-07
t=2.14063 	r=0.831494 	r_E=0.831494 	Err=9.91972e-07
t=2.15625 	r=0.834479 	r_E=0.834479 	Err=9.91972e-07
t=2.17188 	r=0.837454 	r_E=0.837454 	Err=9.91972e-07
