tau=0.03125
t=0 	x=0.1 	r_E=0.1 	Err=0
t=0.03125 	r=0.141251 	r_E=0.141234 	Err=1.62134e-05
t=0.0625 	r=0.172914 	r_E=0.1729 	Err=1.62134e-05
t=0.09375 	r=0.199616 	r_E=0.199603 	Err=1.62134e-05
t=0.125 	r=0.223146 	r_E=0.223134 	Err=1.62134e-05
t=0.15625 	r=0.24442 	r_E=0.244409 	Err=1.62134e-05
t=0.1875 	r=0.263985 	r_E=0.263976 	Err=1.62134e-05
t=0.21875 	r=0.282198 	r_E=0.282188 	Err=1.62134e-05
t=0.25 	r=0.299304 	r_E=0.299295 	Err=1.62134e-05
t=0.28125 	r=0.315484 	r_E=0.315475 	Err=1.62134e-05
t=0.3125 	r=0.330873 	r_E=0.330865 	Err=1.62134e-05
t=0.34375 	r=0.345578 	r_E=0.345571 	Err=1.62134e-05
t=0.375 	r=0.359682 	r_E=0.359675 	Err=1.62134e-05
t=0.40625 	r=0.373254 	r_E=0.373247 	Err=1.62134e-05
t=0.4375 	r=0.386349 	r_E=0.386343 	Err=1.62134e-05
t=0.46875 	r=0.399015 	r_E=0.399008 	Err=1.62134e-05
t=0.5 	r=0.411291 	r_E=0.411285 	Err=1.62134e-05
t=0.53125 	r=0.423211 	r_E=0.423205 	Err=1.62134e-05
t=0.5625 	r=0.434804 	r_E=0.434798 	Err=1.62134e-05
t=0.59375 	r=0.446096 	r_E=0.44609 	Err=1.62134e-05
t=0.625 	r=0.457109 	r_E=0.457104 	Err=1.62134e-05
t=0.65625 	r=0.467863 	r_E=0.467858 	Err=1.62134e-05
t=0.6875 	r=0.478376 	r_E=0.47837 	Err=1.62134e-05
t=0.71875 	r=0.488662 	r_E=0.488657 	Err=1.62134e-05
t=0.75 	r=0.498736 	r_E=0.498731 	Err=1.62134e-05
t=0.78125 	r=0.508611 	r_E=0.508606 	Err=1.62134e-05
t=0.8125 	r=0.518297 	r_E=0.518292 	Err=1.62134e-05
t=0.84375 	r=0.527806 	r_E=0.527801 	Err=1.62134e-05
t=0.875 	r=0.537147 	r_E=0.537142 	Err=1.62134e-05
t=0.90625 	r=0.546327 	r_E=0.546323 	Err=1.62134e-05
t=0.9375 	r=0.555356 	r_E=0.555352 	Err=1.62134e-05
t=0.96875 	r=0.564241 	r_E=0.564236 	Err=1.62134e-05
t=1 	r=0.572988 	r_E=0.572983 	Err=1.62134e-05
t=1.03125 	r=0.581603 	r_E=0.581599 	Err=1.62134e-05
t=1.0625 	r=0.590093 	r_E=0.590088 	Err=1.62134e-05
t=1.09375 	r=0.598462 	r_E=0.598458 	Err=1.62134e-05
t=1.125 	r=0.606716 	r_E=0.606711 	Err=1.62134e-05
t=1.15625 	r=0.614859 	r_E=0.614854 	Err=1.62134e-05
t=1.1875 	r=0.622895 	r_E=0.622891 	Err=1.62134e-05
t=1.21875 	r=0.630829 	r_E=0.630825 	Err=1.62134e-05
t=1.25 	r=0.638665 	r_E=0.638661 	Err=1.62134e-05
t=1.28125 	r=0.646405 	r_E=0.646401 	Err=1.62134e-05
t=1.3125 	r=0.654054 	r_E=0.65405 	Err=1.62134e-05
t=1.34375 	r=0.661615 	r_E=0.661611 	Err=1.62134e-05
t=1.375 	r=0.66909 	r_E=0.669086 	Err=1.62134e-05
t=1.40625 	r=0.676482 	r_E=0.676479 	Err=1.62134e-05
t=1.4375 	r=0.683795 	r_E=0.683791 	Err=1.62134e-05
t=1.46875 	r=0.69103 	r_E=0.691027 	Err=1.62134e-05
t=1.5 	r=0.698191 	r_E=0.698187 	Err=1.62134e-05
t=1.53125 	r=0.705278 	r_E=0.705274 	Err=1.62134e-05
t=1.5625 	r=0.712295 	r_E=0.712292 	Err=1.62134e-05
t=1.59375 	r=0.719244 	r_E=0.71924 	Err=1.62134e-05
t=1.625 	r=0.726126 	r_E=0.726122 	Err=1.62134e-05
t=1.65625 	r=0.732943 	r_E=0.73294 	Err=1.62134e-05
t=1.6875 	r=0.739698 	r_E=0.739694 	Err=1.62134e-05
t=1.71875 	r=0.746392 	r_E=0.746388 	Err=1.62134e-05
t=1.75 	r=0.753026 	r_E=0.753022 	Err=1.62134e-05
t=1.78125 	r=0.759602 	r_E=0.759598 	Err=1.62134e-05
t=1.8125 	r=0.766121 	r_E=0.766118 	Err=1.62134e-05
t=1.84375 	r=0.772586 	r_E=0.772583 	Err=1.62134e-05
t=1.875 	r=0.778997 	r_E=0.778994 	Err=1.62134e-05
