tau=0.0078125
t=0 	x=0.1 	r_E=0.1 	Err=0
t=0.0078125 	r=0.111744 	r_E=0.111744 	Err=4.12855e-08
t=0.015625 	r=0.122367 	r_E=0.122367 	Err=5.41038e-08
t=0.0234375 	r=0.132138 	r_E=0.132138 	Err=5.77341e-08
t=0.03125 	r=0.141235 	r_E=0.141234 	Err=5.79852e-08
t=0.0390625 	r=0.14978 	r_E=0.14978 	Err=5.79852e-08
t=0.046875 	r=0.157863 	r_E=0.157863 	Err=5.79852e-08
t=0.0546875 	r=0.165552 	r_E=0.165552 	Err=5.79852e-08
t=0.0625 	r=0.1729 	r_E=0.1729 	Err=5.79852e-08
t=0.0703125 	r=0.179948 	r_E=0.179948 	Err=5.79852e-08
t=0.078125 	r=0.18673 	r_E=0.18673 	Err=5.79852e-08
t=0.0859375 	r=0.193274 	r_E=0.193274 	Err=5.79852e-08
t=0.09375 	r=0.199604 	r_E=0.199603 	Err=5.79852e-08
t=0.101563 	r=0.205739 	r_E=0.205739 	Err=5.79852e-08
t=0.109375 	r=0.211696 	r_E=0.211696 	Err=5.79852e-08
t=0.117188 	r=0.21749 	r_E=0.21749 	Err=5.79852e-08
t=0.125 	r=0.223134 	r_E=0.223134 	Err=5.79852e-08
t=0.132813 	r=0.228638 	r_E=0.228638 	Err=5.79852e-08
t=0.140625 	r=0.234014 	r_E=0.234014 	Err=5.79852e-08
t=0.148438 	r=0.239268 	r_E=0.239268 	Err=5.79852e-08
t=0.15625 	r=0.244409 	r_E=0.244409 	Err=5.79852e-08
t=0.164063 	r=0.249445 	r_E=0.249445 	Err=5.79852e-08
t=0.171875 	r=0.254381 	r_E=0.254381 	Err=5.79852e-08
t=0.179688 	r=0.259223 	r_E=0.259223 	Err=5.79852e-08
t=0.1875 	r=0.263976 	r_E=0.263976 	Err=5.79852e-08
t=0.195313 	r=0.268645 	r_E=0.268645 	Err=5.79852e-08
t=0.203125 	r=0.273234 	r_E=0.273234 	Err=5.79852e-08
t=0.210938 	r=0.277747 	r_E=0.277747 	Err=5.79852e-08
t=0.21875 	r=0.282188 	r_E=0.282188 	Err=5.79852e-08
t=0.226563 	r=0.286561 	r_E=0.286561 	Err=5.79852e-08
t=0.234375 	r=0.290867 	r_E=0.290867 	Err=5.79852e-08
t=0.242188 	r=0.295111 	r_E=0.295111 	Err=5.79852e-08
t=0.25 	r=0.299295 	r_E=0.299295 	Err=5.79852e-08
t=0.257813 	r=0.303421 	r_E=0.303421 	Err=5.79852e-08
t=0.265625 	r=0.307492 	r_E=0.307492 	Err=5.79852e-08
t=0.273438 	r=0.311509 	r_E=0.311509 	Err=5.79852e-08
t=0.28125 	r=0.315475 	r_E=0.315475 	Err=5.79852e-08
t=0.289063 	r=0.319392 	r_E=0.319392 	Err=5.79852e-08
t=0.296875 	r=0.323262 	r_E=0.323262 	Err=5.79852e-08
t=0.304688 	r=0.327086 	r_E=0.327086 	Err=5.79852e-08
t=0.3125 	r=0.330865 	r_E=0.330865 	Err=5.79852e-08
t=0.320313 	r=0.334602 	r_E=0.334602 	Err=5.79852e-08
t=0.328125 	r=0.338298 	r_E=0.338298 	Err=5.79852e-08
t=0.335938 	r=0.341954 	r_E=0.341954 	Err=5.79852e-08
t=0.34375 	r=0.345571 	r_E=0.345571 	Err=5.79852e-08
t=0.351563 	r=0.34915 	r_E=0.34915 	Err=5.79852e-08
