tau=2
t=0 	x=0.1 	r_E=0.1 	Err=0
t=206 	r=8.15777 	r_E=8.09826 	Err=0.46628
t=208 	r=8.19669 	r_E=8.13747 	Err=0.46628
t=210 	r=8.23544 	r_E=8.1765 	Err=0.46628
t=212 	r=8.274 	r_E=8.21533 	Err=0.46628
t=214 	r=8.31238 	r_E=8.25399 	Err=0.46628
t=216 	r=8.35058 	r_E=8.29246 	Err=0.46628
t=218 	r=8.38862 	r_E=8.33076 	Err=0.46628
t=220 	r=8.42648 	r_E=8.36888 	Err=0.46628
t=222 	r=8.46417 	r_E=8.40683 	Err=0.46628
t=224 	r=8.50169 	r_E=8.44461 	Err=0.46628
t=226 	r=8.53905 	r_E=8.48222 	Err=0.46628
t=228 	r=8.57625 	r_E=8.51966 	Err=0.46628
t=230 	r=8.61328 	r_E=8.55694 	Err=0.46628
t=232 	r=8.65016 	r_E=8.59406 	Err=0.46628
t=234 	r=8.68688 	r_E=8.63102 	Err=0.46628
t=236 	r=8.72344 	r_E=8.66782 	Err=0.46628
t=238 	r=8.75986 	r_E=8.70447 	Err=0.46628
t=240 	r=8.79612 	r_E=8.74096 	Err=0.46628
t=242 	r=8.83223 	r_E=8.7773 	Err=0.46628
t=244 	r=8.8682 	r_E=8.81349 	Err=0.46628
t=246 	r=8.90402 	r_E=8.84953 	Err=0.46628
t=248 	r=8.9397 	r_E=8.88543 	Err=0.46628
t=250 	r=8.97523 	r_E=8.92118 	Err=0.46628
t=252 	r=9.01063 	r_E=8.95679 	Err=0.46628
t=254 	r=9.04589 	r_E=8.99226 	Err=0.46628
t=256 	r=9.08101 	r_E=9.02759 	Err=0.46628
t=258 	r=9.11599 	r_E=9.06278 	Err=0.46628
t=260 	r=9.15084 	r_E=9.09783 	Err=0.46628
t=262 	r=9.18556 	r_E=9.13275 	Err=0.46628
t=264 	r=9.22015 	r_E=9.16754 	Err=0.46628
t=266 	r=9.25461 	r_E=9.2022 	Err=0.46628
t=268 	r=9.28894 	r_E=9.23672 	Err=0.46628
t=270 	r=9.32314 	r_E=9.27112 	Err=0.46628
t=272 	r=9.35722 	r_E=9.30539 	Err=0.46628
t=274 	r=9.39118 	r_E=9.33953 	Err=0.46628
t=276 	r=9.42501 	r_E=9.37355 	Err=0.46628
t=278 	r=9.45873 	r_E=9.40745 	Err=0.46628
t=280 	r=9.49232 	r_E=9.44123 	Err=0.46628
t=282 	r=9.52579 	r_E=9.47488 	Err=0.46628
t=284 	r=9.55915 	r_E=9.50842 	Err=0.46628
t=286 	r=9.59239 	r_E=9.54184 	Err=0.46628
t=288 	r=9.62552 	r_E=9.57514 	Err=0.46628
t=290 	r=9.65853 	r_E=9.60832 	Err=0.46628
t=292 	r=9.69143 	r_E=9.64139 	Err=0.46628
t=294 	r=9.72422 	r_E=9.67435 	Err=0.46628
t=296 	r=9.7569 	r_E=9.7072 	Err=0.46628
t=298 	r=9.78947 	r_E=9.73994 	Err=0.46628
t=300 	r=9.82193 	r_E=9.77256 	Err=0.46628
t=302 	r=9.85428 	r_E=9.80508 	Err=0.46628
t=304 	r=9.88653 	r_E=9.83749 	Err=0.46628
t=306 	r=9.91868 	r_E=9.86979 	Err=0.46628
t=308 	r=9.95072 	r_E=9.90199 	Err=0.46628
t=310 	r=9.98265 	r_E=9.93409 	Err=0.46628
t=312 	r=10.0145 	r_E=9.96608 	Err=0.46628
t=314 	r=10.0462 	r_E=9.99797 	Err=0.46628
t=316 	r=10.0779 	r_E=10.0298 	Err=0.46628
