tau=0.0625
t=0 	x=0.1 	r_E=0.1 	Err=0
t=0.0625 	r=0.173104 	r_E=0.1729 	Err=0.00020393
t=0.125 	r=0.223297 	r_E=0.223134 	Err=0.00020393
t=0.1875 	r=0.264115 	r_E=0.263976 	Err=0.00020393
t=0.25 	r=0.299418 	r_E=0.299295 	Err=0.00020393
t=0.3125 	r=0.330976 	r_E=0.330865 	Err=0.00020393
t=0.375 	r=0.359777 	r_E=0.359675 	Err=0.00020393
t=0.4375 	r=0.386438 	r_E=0.386343 	Err=0.00020393
t=0.5 	r=0.411374 	r_E=0.411285 	Err=0.00020393
t=0.5625 	r=0.434883 	r_E=0.434798 	Err=0.00020393
t=0.625 	r=0.457184 	r_E=0.457104 	Err=0.00020393
t=0.6875 	r=0.478447 	r_E=0.47837 	Err=0.00020393
t=0.75 	r=0.498805 	r_E=0.498731 	Err=0.00020393
t=0.8125 	r=0.518363 	r_E=0.518292 	Err=0.00020393
t=0.875 	r=0.53721 	r_E=0.537142 	Err=0.00020393
t=0.9375 	r=0.555418 	r_E=0.555352 	Err=0.00020393
t=1 	r=0.573048 	r_E=0.572983 	Err=0.00020393
t=1.0625 	r=0.590151 	r_E=0.590088 	Err=0.00020393
t=1.125 	r=0.606772 	r_E=0.606711 	Err=0.00020393
t=1.1875 	r=0.62295 	r_E=0.622891 	Err=0.00020393
t=1.25 	r=0.638718 	r_E=0.638661 	Err=0.00020393
t=1.3125 	r=0.654107 	r_E=0.65405 	Err=0.00020393
t=1.375 	r=0.669141 	r_E=0.669086 	Err=0.00020393
t=1.4375 	r=0.683845 	r_E=0.683791 	Err=0.00020393
t=1.5 	r=0.69824 	r_E=0.698187 	Err=0.00020393
t=1.5625 	r=0.712343 	r_E=0.712292 	Err=0.00020393
t=1.625 	r=0.726173 	r_E=0.726122 	Err=0.00020393
t=1.6875 	r=0.739744 	r_E=0.739694 	Err=0.00020393
t=1.75 	r=0.753071 	r_E=0.753022 	Err=0.00020393
t=1.8125 	r=0.766166 	r_E=0.766118 	Err=0.00020393
t=1.875 	r=0.779041 	r_E=0.778994 	Err=0.00020393
t=1.9375 	r=0.791706 	r_E=0.79166 	Err=0.00020393
t=2 	r=0.804173 	r_E=0.804127 	Err=0.00020393
t=2.0625 	r=0.816448 	r_E=0.816403 	Err=0.00020393
t=2.125 	r=0.828542 	r_E=0.828498 	Err=0.00020393
t=2.1875 	r=0.840462 	r_E=0.840418 	Err=0.00020393
t=2.25 	r=0.852215 	r_E=0.852172 	Err=0.00020393
t=2.3125 	r=0.863809 	r_E=0.863766 	Err=0.00020393
t=2.375 	r=0.875248 	r_E=0.875206 	Err=0.00020393
t=2.4375 	r=0.88654 	r_E=0.886499 	Err=0.00020393
t=2.5 	r=0.897691 	r_E=0.89765 	Err=0.00020393
t=2.5625 	r=0.908704 	r_E=0.908663 	Err=0.00020393
t=2.625 	r=0.919585 	r_E=0.919545 	Err=0.00020393
t=2.6875 	r=0.930339 	r_E=0.9303 	Err=0.00020393
t=2.75 	r=0.940971 	r_E=0.940932 	Err=0.00020393
t=2.8125 	r=0.951483 	r_E=0.951444 	Err=0.00020393
t=2.875 	r=0.961881 	r_E=0.961842 	Err=0.00020393
t=2.9375 	r=0.972167 	r_E=0.972129 	Err=0.00020393
t=3 	r=0.982346 	r_E=0.982308 	Err=0.00020393
t=3.0625 	r=0.99242 	r_E=0.992383 	Err=0.00020393
t=3.125 	r=1.00239 	r_E=1.00236 	Err=0.00020393
t=3.1875 	r=1.01227 	r_E=1.01223 	Err=0.00020393
t=3.25 	r=1.02205 	r_E=1.02201 	Err=0.00020393
t=3.3125 	r=1.03173 	r_E=1.0317 	Err=0.00020393
t=3.375 	r=1.04133 	r_E=1.0413 	Err=0.00020393
t=3.4375 	r=1.05084 	r_E=1.0508 	Err=0.00020393
t=3.5 	r=1.06026 	r_E=1.06023 	Err=0.00020393
t=3.5625 	r=1.0696 	r_E=1.06957 	Err=0.00020393
t=3.625 	r=1.07886 	r_E=1.07883 	Err=0.00020393
t=3.6875 	r=1.08804 	r_E=1.08801 	Err=0.00020393
t=3.75 	r=1.09715 	r_E=1.09712 	Err=0.00020393
t=3.8125 	r=1.10618 	r_E=1.10614 	Err=0.00020393
t=3.875 	r=1.11513 	r_E=1.1151 	Err=0.00020393
t=3.9375 	r=1.12402 	r_E=1.12399 	Err=0.00020393
t=4 	r=1.13283 	r_E=1.1328 	Err=0.00020393
t=4.0625 	r=1.14158 	r_E=1.14155 	Err=0.00020393
t=4.125 	r=1.15026 	r_E=1.15023 	Err=0.00020393
t=4.1875 	r=1.15888 	r_E=1.15885 	Err=0.00020393
t=4.25 	r=1.16743 	r_E=1.1674 	Err=0.00020393
t=4.3125 	r=1.17592 	r_E=1.17589 	Err=0.00020393
t=4.375 	r=1.18435 	r_E=1.18432 	Err=0.00020393
t=4.4375 	r=1.19272 	r_E=1.19269 	Err=0.00020393
t=4.5 	r=1.20103 	r_E=1.201 	Err=0.00020393
t=4.5625 	r=1.20928 	r_E=1.20925 	Err=0.00020393
t=4.625 	r=1.21748 	r_E=1.21745 	Err=0.00020393
t=4.6875 	r=1.22562 	r_E=1.22559 	Err=0.00020393
t=4.75 	r=1.23371 	r_E=1.23368 	Err=0.00020393
t=4.8125 	r=1.24175 	r_E=1.24172 	Err=0.00020393
t=4.875 	r=1.24973 	r_E=1.2497 	Err=0.00020393
t=4.9375 	r=1.25767 	r_E=1.25764 	Err=0.00020393
t=5 	r=1.26555 	r_E=1.26552 	Err=0.00020393
t=5.0625 	r=1.27339 	r_E=1.27336 	Err=0.00020393
t=5.125 	r=1.28118 	r_E=1.28115 	Err=0.00020393
t=5.1875 	r=1.28892 	r_E=1.28889 	Err=0.00020393
t=5.25 	r=1.29661 	r_E=1.29658 	Err=0.00020393
t=5.3125 	r=1.30426 	r_E=1.30423 	Err=0.00020393
t=5.375 	r=1.31186 	r_E=1.31184 	Err=0.00020393
t=5.4375 	r=1.31943 	r_E=1.3194 	Err=0.00020393
t=5.5 	r=1.32694 	r_E=1.32692 	Err=0.00020393
t=5.5625 	r=1.33442 	r_E=1.33439 	Err=0.00020393
t=5.625 	r=1.34185 	r_E=1.34182 	Err=0.00020393
t=5.6875 	r=1.34924 	r_E=1.34922 	Err=0.00020393
t=5.75 	r=1.3566 	r_E=1.35657 	Err=0.00020393
t=5.8125 	r=1.36391 	r_E=1.36388 	Err=0.00020393
t=5.875 	r=1.37118 	r_E=1.37116 	Err=0.00020393
t=5.9375 	r=1.37842 	r_E=1.37839 	Err=0.00020393
t=6 	r=1.38562 	r_E=1.38559 	Err=0.00020393
t=6.0625 	r=1.39278 	r_E=1.39275 	Err=0.00020393
t=6.125 	r=1.3999 	r_E=1.39987 	Err=0.00020393
t=6.1875 	r=1.40699 	r_E=1.40696 	Err=0.00020393
t=6.25 	r=1.41404 	r_E=1.41401 	Err=0.00020393
t=6.3125 	r=1.42106 	r_E=1.42103 	Err=0.00020393
t=6.375 	r=1.42804 	r_E=1.42801 	Err=0.00020393
t=6.4375 	r=1.43499 	r_E=1.43496 	Err=0.00020393
t=6.5 	r=1.4419 	r_E=1.44188 	Err=0.00020393
t=6.5625 	r=1.44879 	r_E=1.44876 	Err=0.00020393
t=6.625 	r=1.45564 	r_E=1.45561 	Err=0.00020393
t=6.6875 	r=1.46245 	r_E=1.46243 	Err=0.00020393
t=6.75 	r=1.46924 	r_E=1.46921 	Err=0.00020393
t=6.8125 	r=1.47599 	r_E=1.47597 	Err=0.00020393
t=6.875 	r=1.48272 	r_E=1.48269 	Err=0.00020393
t=6.9375 	r=1.48941 	r_E=1.48939 	Err=0.00020393
t=7 	r=1.49608 	r_E=1.49605 	Err=0.00020393
t=7.0625 	r=1.50271 	r_E=1.50269 	Err=0.00020393
t=7.125 	r=1.50931 	r_E=1.50929 	Err=0.00020393
t=7.1875 	r=1.51589 	r_E=1.51587 	Err=0.00020393
t=7.25 	r=1.52244 	r_E=1.52241 	Err=0.00020393
t=7.3125 	r=1.52896 	r_E=1.52893 	Err=0.00020393
