tau=0.125
t=0 	x=0.1 	r_E=0.1 	Err=0
t=0.125 	r=0.224897 	r_E=0.223134 	Err=0.00176332
t=0.25 	r=0.300626 	r_E=0.299295 	Err=0.00176332
t=0.375 	r=0.360785 	r_E=0.359675 	Err=0.00176332
t=0.5 	r=0.412256 	r_E=0.411285 	Err=0.00176332
t=0.625 	r=0.457978 	r_E=0.457104 	Err=0.00176332
t=0.75 	r=0.499532 	r_E=0.498731 	Err=0.00176332
t=0.875 	r=0.537886 	r_E=0.537142 	Err=0.00176332
t=1 	r=0.573681 	r_E=0.572983 	Err=0.00176332
t=1.125 	r=0.607371 	r_E=0.606711 	Err=0.00176332
t=1.25 	r=0.639287 	r_E=0.638661 	Err=0.00176332
t=1.375 	r=0.669684 	r_E=0.669086 	Err=0.00176332
t=1.5 	r=0.69876 	r_E=0.698187 	Err=0.00176332
t=1.625 	r=0.726673 	r_E=0.726122 	Err=0.00176332
t=1.75 	r=0.753553 	r_E=0.753022 	Err=0.00176332
t=1.875 	r=0.779507 	r_E=0.778994 	Err=0.00176332
t=2 	r=0.804624 	r_E=0.804127 	Err=0.00176332
t=2.125 	r=0.828981 	r_E=0.828498 	Err=0.00176332
t=2.25 	r=0.852642 	r_E=0.852172 	Err=0.00176332
t=2.375 	r=0.875663 	r_E=0.875206 	Err=0.00176332
t=2.5 	r=0.898095 	r_E=0.89765 	Err=0.00176332
t=2.625 	r=0.91998 	r_E=0.919545 	Err=0.00176332
t=2.75 	r=0.941357 	r_E=0.940932 	Err=0.00176332
t=2.875 	r=0.962258 	r_E=0.961842 	Err=0.00176332
t=3 	r=0.982716 	r_E=0.982308 	Err=0.00176332
t=3.125 	r=1.00276 	r_E=1.00236 	Err=0.00176332
t=3.25 	r=1.0224 	r_E=1.02201 	Err=0.00176332
t=3.375 	r=1.04168 	r_E=1.0413 	Err=0.00176332
t=3.5 	r=1.06061 	r_E=1.06023 	Err=0.00176332
t=3.625 	r=1.0792 	r_E=1.07883 	Err=0.00176332
t=3.75 	r=1.09748 	r_E=1.09712 	Err=0.00176332
t=3.875 	r=1.11546 	r_E=1.1151 	Err=0.00176332
t=4 	r=1.13315 	r_E=1.1328 	Err=0.00176332
t=4.125 	r=1.15058 	r_E=1.15023 	Err=0.00176332
t=4.25 	r=1.16774 	r_E=1.1674 	Err=0.00176332
t=4.375 	r=1.18465 	r_E=1.18432 	Err=0.00176332
t=4.5 	r=1.20133 	r_E=1.201 	Err=0.00176332
t=4.625 	r=1.21778 	r_E=1.21745 	Err=0.00176332
t=4.75 	r=1.23401 	r_E=1.23368 	Err=0.00176332
t=4.875 	r=1.25002 	r_E=1.2497 	Err=0.00176332
t=5 	r=1.26584 	r_E=1.26552 	Err=0.00176332
t=5.125 	r=1.28146 	r_E=1.28115 	Err=0.00176332
t=5.25 	r=1.29689 	r_E=1.29658 	Err=0.00176332
t=5.375 	r=1.31214 	r_E=1.31184 	Err=0.00176332
t=5.5 	r=1.32722 	r_E=1.32692 	Err=0.00176332
t=5.625 	r=1.34212 	r_E=1.34182 	Err=0.00176332
t=5.75 	r=1.35686 	r_E=1.35657 	Err=0.00176332
t=5.875 	r=1.37145 	r_E=1.37116 	Err=0.00176332
t=6 	r=1.38588 	r_E=1.38559 	Err=0.00176332
t=6.125 	r=1.40016 	r_E=1.39987 	Err=0.00176332
t=6.25 	r=1.4143 	r_E=1.41401 	Err=0.00176332
t=6.375 	r=1.42829 	r_E=1.42801 	Err=0.00176332
t=6.5 	r=1.44216 	r_E=1.44188 	Err=0.00176332
t=6.625 	r=1.45589 	r_E=1.45561 	Err=0.00176332
t=6.75 	r=1.46949 	r_E=1.46921 	Err=0.00176332
t=6.875 	r=1.48296 	r_E=1.48269 	Err=0.00176332
t=7 	r=1.49632 	r_E=1.49605 	Err=0.00176332
t=7.125 	r=1.50956 	r_E=1.50929 	Err=0.00176332
t=7.25 	r=1.52268 	r_E=1.52241 	Err=0.00176332
t=7.375 	r=1.53569 	r_E=1.53543 	Err=0.00176332
t=7.5 	r=1.54859 	r_E=1.54833 	Err=0.00176332
t=7.625 	r=1.56138 	r_E=1.56113 	Err=0.00176332
t=7.75 	r=1.57407 	r_E=1.57382 	Err=0.00176332
t=7.875 	r=1.58666 	r_E=1.58641 	Err=0.00176332
t=8 	r=1.59915 	r_E=1.5989 	Err=0.00176332
t=8.125 	r=1.61154 	r_E=1.61129 	Err=0.00176332
t=8.25 	r=1.62384 	r_E=1.62359 	Err=0.00176332
t=8.375 	r=1.63605 	r_E=1.6358 	Err=0.00176332
t=8.5 	r=1.64816 	r_E=1.64792 	Err=0.00176332
t=8.625 	r=1.66019 	r_E=1.65995 	Err=0.00176332
t=8.75 	r=1.67213 	r_E=1.67189 	Err=0.00176332
t=8.875 	r=1.68398 	r_E=1.68375 	Err=0.00176332
t=9 	r=1.69576 	r_E=1.69552 	Err=0.00176332
