tau=2
t=0 	x=0 	x_E=2.84217e-14 	Err=0
t=2 	x=0 	x_E=2.01626 	Err=2.8895e-09
t=4 	x=0 	x_E=4.06613 	Err=6.28975e-09
t=6 	x=0 	x_E=6.15136 	Err=1.03066e-08
t=8 	x=0 	x_E=8.27382 	Err=1.50723e-08
t=10 	x=0 	x_E=10.4356 	Err=2.07537e-08
t=12 	x=0 	x_E=12.639 	Err=2.75625e-08
t=14 	x=0 	x_E=14.8864 	Err=3.57702e-08
t=16 	x=0 	x_E=17.1807 	Err=4.5728e-08
t=18 	x=0 	x_E=19.5249 	Err=5.78953e-08
t=20 	x=0 	x_E=21.9224 	Err=7.28796e-08
t=22 	x=0 	x_E=24.3769 	Err=9.14944e-08
t=24 	x=0 	x_E=26.8929 	Err=1.14844e-07
t=26 	x=0 	x_E=29.4751 	Err=1.4445e-07
t=28 	x=0 	x_E=32.1291 	Err=1.82444e-07
t=30 	x=0 	x_E=34.8612 	Err=2.31867e-07
t=32 	x=0 	x_E=37.6788 	Err=2.97147e-07
t=34 	x=0 	x_E=40.5903 	Err=3.84885e-07
t=36 	x=0 	x_E=43.6059 	Err=5.05175e-07
t=38 	x=0 	x_E=46.7376 	Err=6.73927e-07
t=40 	x=0 	x_E=50 	Err=9.17093e-07
t=42 	x=0 	x_E=53.4109 	Err=1.27873e-06
t=44 	x=0 	x_E=56.9926 	Err=1.83729e-06
t=46 	x=0 	x_E=60.7738 	Err=2.74058e-06
t=48 	x=0 	x_E=64.792 	Err=4.28722e-06
t=50 	x=0 	x_E=69.0983 	Err=7.13539e-06
t=52 	x=0 	x_E=73.7652 	Err=1.29084e-05
t=54 	x=0 	x_E=78.9023 	Err=2.62641e-05
t=56 	x=0 	x_E=84.6887 	Err=6.3779e-05
t=58 	x=0 	x_E=91.459 	Err=0.000207925
t=60 	x=0 	x_E=100 	Err=0.00121273
