tau=0.5
t=0 	x=0 	x_E=2.84217e-14 	Err=0
t=0.5 	x=0 	x_E=0.501004 	Err=2.67797e-12
t=1 	x=0 	x_E=1.00403 	Err=5.49139e-12
t=1.5 	x=0 	x_E=1.50911 	Err=8.42615e-12
t=2 	x=0 	x_E=2.01626 	Err=1.14699e-11
t=2.5 	x=0 	x_E=2.52551 	Err=1.46452e-11
t=3 	x=0 	x_E=3.03689 	Err=1.79754e-11
t=3.5 	x=0 	x_E=3.55042 	Err=2.14246e-11
t=4 	x=0 	x_E=4.06613 	Err=2.5012e-11
t=4.5 	x=0 	x_E=4.58405 	Err=2.87832e-11
t=5 	x=0 	x_E=5.10421 	Err=3.26859e-11
t=5.5 	x=0 	x_E=5.62664 	Err=3.67733e-11
t=6 	x=0 	x_E=6.15136 	Err=4.10285e-11
t=6.5 	x=0 	x_E=6.6784 	Err=4.54792e-11
t=7 	x=0 	x_E=7.20781 	Err=5.0119e-11
t=7.5 	x=0 	x_E=7.73961 	Err=5.49818e-11
t=8 	x=0 	x_E=8.27382 	Err=6.00568e-11
t=8.5 	x=0 	x_E=8.8105 	Err=6.53539e-11
t=9 	x=0 	x_E=9.34966 	Err=7.08962e-11
t=9.5 	x=0 	x_E=9.89136 	Err=7.66871e-11
t=10 	x=0 	x_E=10.4356 	Err=8.27232e-11
t=10.5 	x=0 	x_E=10.9825 	Err=8.90754e-11
t=11 	x=0 	x_E=11.5319 	Err=9.57172e-11
t=11.5 	x=0 	x_E=12.0841 	Err=1.02649e-10
t=12 	x=0 	x_E=12.639 	Err=1.09939e-10
t=12.5 	x=0 	x_E=13.1966 	Err=1.17575e-10
t=13 	x=0 	x_E=13.757 	Err=1.25585e-10
t=13.5 	x=0 	x_E=14.3203 	Err=1.33964e-10
t=14 	x=0 	x_E=14.8864 	Err=1.42766e-10
t=14.5 	x=0 	x_E=15.4555 	Err=1.52006e-10
t=15 	x=0 	x_E=16.0275 	Err=1.6173e-10
t=15.5 	x=0 	x_E=16.6026 	Err=1.71912e-10
t=16 	x=0 	x_E=17.1807 	Err=1.8262e-10
t=16.5 	x=0 	x_E=17.7619 	Err=1.93904e-10
t=17 	x=0 	x_E=18.3464 	Err=2.05766e-10
t=17.5 	x=0 	x_E=18.934 	Err=2.18243e-10
t=18 	x=0 	x_E=19.5249 	Err=2.31392e-10
t=18.5 	x=0 	x_E=20.1191 	Err=2.45258e-10
t=19 	x=0 	x_E=20.7167 	Err=2.59853e-10
t=19.5 	x=0 	x_E=21.3178 	Err=2.7525e-10
t=20 	x=0 	x_E=21.9224 	Err=2.91529e-10
t=20.5 	x=0 	x_E=22.5305 	Err=3.08702e-10
t=21 	x=0 	x_E=23.1423 	Err=3.26839e-10
t=21.5 	x=0 	x_E=23.7577 	Err=3.46027e-10
t=22 	x=0 	x_E=24.3769 	Err=3.66299e-10
t=22.5 	x=0 	x_E=25 	Err=3.87793e-10
t=23 	x=0 	x_E=25.627 	Err=4.10534e-10
t=23.5 	x=0 	x_E=26.2579 	Err=4.34667e-10
t=24 	x=0 	x_E=26.8929 	Err=4.60254e-10
t=24.5 	x=0 	x_E=27.5321 	Err=4.87407e-10
t=25 	x=0 	x_E=28.1754 	Err=5.1627e-10
t=25.5 	x=0 	x_E=28.8231 	Err=5.46944e-10
t=26 	x=0 	x_E=29.4751 	Err=5.79572e-10
t=26.5 	x=0 	x_E=30.1317 	Err=6.14307e-10
t=27 	x=0 	x_E=30.7928 	Err=6.5133e-10
t=27.5 	x=0 	x_E=31.4586 	Err=6.90825e-10
t=28 	x=0 	x_E=32.1291 	Err=7.32946e-10
t=28.5 	x=0 	x_E=32.8046 	Err=7.77973e-10
t=29 	x=0 	x_E=33.485 	Err=8.26127e-10
t=29.5 	x=0 	x_E=34.1705 	Err=8.77662e-10
t=30 	x=0 	x_E=34.8612 	Err=9.32886e-10
t=30.5 	x=0 	x_E=35.5573 	Err=9.92102e-10
t=31 	x=0 	x_E=36.2588 	Err=1.0557e-09
t=31.5 	x=0 	x_E=36.9659 	Err=1.12403e-09
t=32 	x=0 	x_E=37.6788 	Err=1.19757e-09
t=32.5 	x=0 	x_E=38.3975 	Err=1.2768e-09
t=33 	x=0 	x_E=39.1222 	Err=1.36223e-09
t=33.5 	x=0 	x_E=39.8531 	Err=1.4545e-09
t=34 	x=0 	x_E=40.5903 	Err=1.55425e-09
t=34.5 	x=0 	x_E=41.334 	Err=1.66227e-09
t=35 	x=0 	x_E=42.0844 	Err=1.77936e-09
t=35.5 	x=0 	x_E=42.8416 	Err=1.90652e-09
t=36 	x=0 	x_E=43.6059 	Err=2.04479e-09
