tau=1
t=0 	x=0 	x_E=2.84217e-14 	Err=0
t=1 	x=1.00403 	x_E=1.00403 	Err=8.77403e-11
t=2 	x=2.01626 	x_E=2.01626 	Err=1.82877e-10
t=3 	x=3.03689 	x_E=3.03689 	Err=2.86116e-10
t=4 	x=4.06613 	x_E=4.06613 	Err=3.98206e-10
t=5 	x=5.10421 	x_E=5.10421 	Err=5.20084e-10
t=6 	x=6.15136 	x_E=6.15136 	Err=6.52708e-10
t=7 	x=7.20781 	x_E=7.20781 	Err=7.97199e-10
t=8 	x=8.27382 	x_E=8.27382 	Err=9.54824e-10
t=9 	x=9.34966 	x_E=9.34966 	Err=1.12695e-09
t=10 	x=10.4356 	x_E=10.4356 	Err=1.31514e-09
t=11 	x=11.5319 	x_E=11.5319 	Err=1.52125e-09
t=12 	x=12.639 	x_E=12.639 	Err=1.74724e-09
t=13 	x=13.757 	x_E=13.757 	Err=1.99544e-09
t=14 	x=14.8864 	x_E=14.8864 	Err=2.26841e-09
t=15 	x=16.0275 	x_E=16.0275 	Err=2.5692e-09
t=16 	x=17.1807 	x_E=17.1807 	Err=2.90114e-09
t=17 	x=18.3464 	x_E=18.3464 	Err=3.2682e-09
t=18 	x=19.5249 	x_E=19.5249 	Err=3.67483e-09
t=19 	x=20.7167 	x_E=20.7167 	Err=4.12624e-09
t=20 	x=21.9224 	x_E=21.9224 	Err=4.62843e-09
t=21 	x=23.1423 	x_E=23.1423 	Err=5.18833e-09
t=22 	x=24.3769 	x_E=24.3769 	Err=5.81408e-09
t=23 	x=25.627 	x_E=25.627 	Err=6.51518e-09
t=24 	x=26.8929 	x_E=26.8929 	Err=7.30279e-09
t=25 	x=28.1754 	x_E=28.1754 	Err=8.19003e-09
t=26 	x=29.4751 	x_E=29.4751 	Err=9.19245e-09
t=27 	x=30.7928 	x_E=30.7928 	Err=1.03286e-08
t=28 	x=32.1291 	x_E=32.1291 	Err=1.16204e-08
t=29 	x=33.485 	x_E=33.485 	Err=1.30946e-08
t=30 	x=34.8612 	x_E=34.8612 	Err=1.47831e-08
t=31 	x=36.2588 	x_E=36.2588 	Err=1.67248e-08
t=32 	x=37.6788 	x_E=37.6788 	Err=1.89671e-08
t=33 	x=39.1222 	x_E=39.1222 	Err=2.15684e-08
t=34 	x=40.5903 	x_E=40.5903 	Err=2.46006e-08
t=35 	x=42.0844 	x_E=42.0844 	Err=2.81537e-08
t=36 	x=43.6059 	x_E=43.6059 	Err=3.23404e-08
t=37 	x=45.1564 	x_E=45.1564 	Err=3.73034e-08
t=38 	x=46.7376 	x_E=46.7376 	Err=4.3225e-08
t=39 	x=48.3515 	x_E=48.3515 	Err=5.03401e-08
t=40 	x=50 	x_E=50 	Err=5.89549e-08
t=41 	x=51.6856 	x_E=51.6856 	Err=6.94725e-08
t=42 	x=53.4109 	x_E=53.4109 	Err=8.24308e-08
t=43 	x=55.1788 	x_E=55.1788 	Err=9.85565e-08
t=44 	x=56.9926 	x_E=56.9926 	Err=1.18846e-07
t=45 	x=58.8562 	x_E=58.8562 	Err=1.44689e-07
t=46 	x=60.7738 	x_E=60.7738 	Err=1.78057e-07
t=47 	x=62.7505 	x_E=62.7505 	Err=2.21802e-07
t=48 	x=64.792 	x_E=64.792 	Err=2.80151e-07
t=49 	x=66.9053 	x_E=66.9052 	Err=3.5952e-07
t=50 	x=69.0983 	x_E=69.0983 	Err=4.69935e-07
t=51 	x=71.381 	x_E=71.381 	Err=6.27602e-07
t=52 	x=73.7652 	x_E=73.7652 	Err=8.59731e-07
t=53 	x=76.266 	x_E=76.266 	Err=1.21415e-06
t=54 	x=78.9023 	x_E=78.9023 	Err=1.77959e-06
t=55 	x=81.6987 	x_E=81.6987 	Err=2.73196e-06
t=56 	x=84.6887 	x_E=84.6887 	Err=4.44978e-06
t=57 	x=87.919 	x_E=87.919 	Err=7.83796e-06
t=58 	x=91.459 	x_E=91.459 	Err=1.53846e-05
t=59 	x=95.4196 	x_E=95.4196 	Err=3.54112e-05
t=60 	x=100 	x_E=100 	Err=0.000105364
