tau=0.5
t=0 	r=0.1 	x_E=0.1 	Err=0
t=50 	r=4.08429 	r_E=3.99068 	Err=0.48449
t=50.5 	r=4.10378 	r_E=4.01057 	Err=0.48449
t=51 	r=4.12317 	r_E=4.03036 	Err=0.48449
t=51.5 	r=4.14247 	r_E=4.05006 	Err=0.48449
t=52 	r=4.16168 	r_E=4.06966 	Err=0.48449
t=52.5 	r=4.1808 	r_E=4.08916 	Err=0.48449
t=53 	r=4.19983 	r_E=4.10858 	Err=0.48449
t=53.5 	r=4.21878 	r_E=4.1279 	Err=0.48449
t=54 	r=4.23764 	r_E=4.14714 	Err=0.48449
t=54.5 	r=4.25642 	r_E=4.16628 	Err=0.48449
t=55 	r=4.27512 	r_E=4.18534 	Err=0.48449
t=55.5 	r=4.29373 	r_E=4.20431 	Err=0.48449
t=56 	r=4.31227 	r_E=4.22319 	Err=0.48449
t=56.5 	r=4.33072 	r_E=4.24199 	Err=0.48449
t=57 	r=4.3491 	r_E=4.26071 	Err=0.48449
t=57.5 	r=4.36739 	r_E=4.27935 	Err=0.48449
t=58 	r=4.38561 	r_E=4.2979 	Err=0.48449
t=58.5 	r=4.40376 	r_E=4.31638 	Err=0.48449
t=59 	r=4.42183 	r_E=4.33478 	Err=0.48449
t=59.5 	r=4.43983 	r_E=4.3531 	Err=0.48449
t=60 	r=4.45775 	r_E=4.37134 	Err=0.48449
t=60.5 	r=4.4756 	r_E=4.3895 	Err=0.48449
t=61 	r=4.49338 	r_E=4.4076 	Err=0.48449
t=61.5 	r=4.51109 	r_E=4.42561 	Err=0.48449
t=62 	r=4.52873 	r_E=4.44356 	Err=0.48449
t=62.5 	r=4.5463 	r_E=4.46143 	Err=0.48449
t=63 	r=4.56381 	r_E=4.47923 	Err=0.48449
t=63.5 	r=4.58124 	r_E=4.49696 	Err=0.48449
t=64 	r=4.59861 	r_E=4.51462 	Err=0.48449
t=64.5 	r=4.61592 	r_E=4.53222 	Err=0.48449
t=65 	r=4.63316 	r_E=4.54974 	Err=0.48449
t=65.5 	r=4.65033 	r_E=4.5672 	Err=0.48449
t=66 	r=4.66745 	r_E=4.58459 	Err=0.48449
t=66.5 	r=4.6845 	r_E=4.60191 	Err=0.48449
t=67 	r=4.70148 	r_E=4.61917 	Err=0.48449
t=67.5 	r=4.71841 	r_E=4.63637 	Err=0.48449
t=68 	r=4.73527 	r_E=4.6535 	Err=0.48449
t=68.5 	r=4.75208 	r_E=4.67057 	Err=0.48449
t=69 	r=4.76883 	r_E=4.68758 	Err=0.48449
t=69.5 	r=4.78551 	r_E=4.70452 	Err=0.48449
t=70 	r=4.80214 	r_E=4.72141 	Err=0.48449
t=70.5 	r=4.81871 	r_E=4.73823 	Err=0.48449
t=71 	r=4.83523 	r_E=4.755 	Err=0.48449
t=71.5 	r=4.85168 	r_E=4.7717 	Err=0.48449
t=72 	r=4.86809 	r_E=4.78835 	Err=0.48449
t=72.5 	r=4.88443 	r_E=4.80494 	Err=0.48449
t=73 	r=4.90073 	r_E=4.82148 	Err=0.48449
t=73.5 	r=4.91696 	r_E=4.83795 	Err=0.48449
t=74 	r=4.93315 	r_E=4.85437 	Err=0.48449
t=74.5 	r=4.94928 	r_E=4.87074 	Err=0.48449
t=75 	r=4.96536 	r_E=4.88705 	Err=0.48449
t=75.5 	r=4.98138 	r_E=4.9033 	Err=0.48449
t=76 	r=4.99736 	r_E=4.91951 	Err=0.48449
t=76.5 	r=5.01328 	r_E=4.93566 	Err=0.48449
t=77 	r=5.02916 	r_E=4.95175 	Err=0.48449
t=77.5 	r=5.04498 	r_E=4.9678 	Err=0.48449
t=78 	r=5.06075 	r_E=4.98379 	Err=0.48449
t=78.5 	r=5.07648 	r_E=4.99973 	Err=0.48449
t=79 	r=5.09215 	r_E=5.01562 	Err=0.48449
t=79.5 	r=5.10778 	r_E=5.03146 	Err=0.48449
t=80 	r=5.12336 	r_E=5.04726 	Err=0.48449
t=80.5 	r=5.13889 	r_E=5.063 	Err=0.48449
t=81 	r=5.15438 	r_E=5.07869 	Err=0.48449
t=81.5 	r=5.16982 	r_E=5.09434 	Err=0.48449
t=82 	r=5.18521 	r_E=5.10993 	Err=0.48449
t=82.5 	r=5.20056 	r_E=5.12548 	Err=0.48449
t=83 	r=5.21586 	r_E=5.14098 	Err=0.48449
t=83.5 	r=5.23111 	r_E=5.15644 	Err=0.48449
t=84 	r=5.24633 	r_E=5.17185 	Err=0.48449
t=84.5 	r=5.2615 	r_E=5.18721 	Err=0.48449
t=85 	r=5.27662 	r_E=5.20253 	Err=0.48449
t=85.5 	r=5.2917 	r_E=5.21781 	Err=0.48449
t=86 	r=5.30674 	r_E=5.23303 	Err=0.48449
