tau=2
t=0 	r=0.1 	x_E=0.1 	Err=0
t=206 	r=8.71934 	r_E=8.09826 	Err=2.47897
t=208 	r=8.75585 	r_E=8.13747 	Err=2.47897
t=210 	r=8.7922 	r_E=8.1765 	Err=2.47897
t=212 	r=8.82841 	r_E=8.21533 	Err=2.47897
t=214 	r=8.86446 	r_E=8.25399 	Err=2.47897
t=216 	r=8.90037 	r_E=8.29246 	Err=2.47897
t=218 	r=8.93613 	r_E=8.33076 	Err=2.47897
t=220 	r=8.97175 	r_E=8.36888 	Err=2.47897
t=222 	r=9.00723 	r_E=8.40683 	Err=2.47897
t=224 	r=9.04257 	r_E=8.44461 	Err=2.47897
t=226 	r=9.07777 	r_E=8.48222 	Err=2.47897
t=228 	r=9.11284 	r_E=8.51966 	Err=2.47897
t=230 	r=9.14777 	r_E=8.55694 	Err=2.47897
t=232 	r=9.18256 	r_E=8.59406 	Err=2.47897
t=234 	r=9.21723 	r_E=8.63102 	Err=2.47897
t=236 	r=9.25176 	r_E=8.66782 	Err=2.47897
t=238 	r=9.28617 	r_E=8.70447 	Err=2.47897
t=240 	r=9.32045 	r_E=8.74096 	Err=2.47897
t=242 	r=9.3546 	r_E=8.7773 	Err=2.47897
t=244 	r=9.38862 	r_E=8.81349 	Err=2.47897
t=246 	r=9.42253 	r_E=8.84953 	Err=2.47897
t=248 	r=9.45631 	r_E=8.88543 	Err=2.47897
t=250 	r=9.48997 	r_E=8.92118 	Err=2.47897
t=252 	r=9.52351 	r_E=8.95679 	Err=2.47897
t=254 	r=9.55694 	r_E=8.99226 	Err=2.47897
t=256 	r=9.59024 	r_E=9.02759 	Err=2.47897
t=258 	r=9.62343 	r_E=9.06278 	Err=2.47897
t=260 	r=9.65651 	r_E=9.09783 	Err=2.47897
t=262 	r=9.68947 	r_E=9.13275 	Err=2.47897
t=264 	r=9.72233 	r_E=9.16754 	Err=2.47897
t=266 	r=9.75507 	r_E=9.2022 	Err=2.47897
t=268 	r=9.7877 	r_E=9.23672 	Err=2.47897
t=270 	r=9.82022 	r_E=9.27112 	Err=2.47897
t=272 	r=9.85263 	r_E=9.30539 	Err=2.47897
t=274 	r=9.88494 	r_E=9.33953 	Err=2.47897
t=276 	r=9.91714 	r_E=9.37355 	Err=2.47897
t=278 	r=9.94924 	r_E=9.40745 	Err=2.47897
t=280 	r=9.98123 	r_E=9.44123 	Err=2.47897
t=282 	r=10.0131 	r_E=9.47488 	Err=2.47897
t=284 	r=10.0449 	r_E=9.50842 	Err=2.47897
t=286 	r=10.0766 	r_E=9.54184 	Err=2.47897
t=288 	r=10.1082 	r_E=9.57514 	Err=2.47897
t=290 	r=10.1397 	r_E=9.60832 	Err=2.47897
t=292 	r=10.1711 	r_E=9.64139 	Err=2.47897
t=294 	r=10.2024 	r_E=9.67435 	Err=2.47897
t=296 	r=10.2336 	r_E=9.7072 	Err=2.47897
t=298 	r=10.2647 	r_E=9.73994 	Err=2.47897
t=300 	r=10.2957 	r_E=9.77256 	Err=2.47897
t=302 	r=10.3266 	r_E=9.80508 	Err=2.47897
t=304 	r=10.3574 	r_E=9.83749 	Err=2.47897
t=306 	r=10.3882 	r_E=9.86979 	Err=2.47897
t=308 	r=10.4188 	r_E=9.90199 	Err=2.47897
t=310 	r=10.4493 	r_E=9.93409 	Err=2.47897
t=312 	r=10.4798 	r_E=9.96608 	Err=2.47897
t=314 	r=10.5102 	r_E=9.99797 	Err=2.47897
t=316 	r=10.5405 	r_E=10.0298 	Err=2.47897
