tau=1
t=0 	r=0.1 	x_E=0.1 	Err=0
t=1 	r=1.69155 	r_E=0.572983 	Err=1.11857
t=2 	r=1.78564 	r_E=0.804127 	Err=1.11857
t=3 	r=1.87477 	r_E=0.982308 	Err=1.11857
t=4 	r=1.95966 	r_E=1.1328 	Err=1.11857
t=5 	r=2.04088 	r_E=1.26552 	Err=1.11857
t=6 	r=2.11886 	r_E=1.38559 	Err=1.11857
t=7 	r=2.19397 	r_E=1.49605 	Err=1.11857
t=8 	r=2.26652 	r_E=1.5989 	Err=1.11857
t=9 	r=2.33674 	r_E=1.69552 	Err=1.11857
t=10 	r=2.40485 	r_E=1.78692 	Err=1.11857
t=11 	r=2.47103 	r_E=1.87388 	Err=1.11857
t=12 	r=2.53544 	r_E=1.95697 	Err=1.11857
t=13 	r=2.59821 	r_E=2.03667 	Err=1.11857
t=14 	r=2.65946 	r_E=2.11337 	Err=1.11857
t=15 	r=2.71931 	r_E=2.18738 	Err=1.11857
t=16 	r=2.77784 	r_E=2.25897 	Err=1.11857
t=17 	r=2.83513 	r_E=2.32836 	Err=1.11857
t=18 	r=2.89127 	r_E=2.39574 	Err=1.11857
t=19 	r=2.94631 	r_E=2.46128 	Err=1.11857
t=20 	r=3.00033 	r_E=2.52511 	Err=1.11857
t=21 	r=3.05338 	r_E=2.58737 	Err=1.11857
t=22 	r=3.1055 	r_E=2.64817 	Err=1.11857
t=23 	r=3.15675 	r_E=2.70761 	Err=1.11857
t=24 	r=3.20717 	r_E=2.76576 	Err=1.11857
t=25 	r=3.25679 	r_E=2.82272 	Err=1.11857
t=26 	r=3.30566 	r_E=2.87855 	Err=1.11857
t=27 	r=3.35381 	r_E=2.93332 	Err=1.11857
t=28 	r=3.40126 	r_E=2.98709 	Err=1.11857
t=29 	r=3.44806 	r_E=3.0399 	Err=1.11857
t=30 	r=3.49421 	r_E=3.09181 	Err=1.11857
t=31 	r=3.53976 	r_E=3.14287 	Err=1.11857
t=32 	r=3.58472 	r_E=3.1931 	Err=1.11857
t=33 	r=3.62912 	r_E=3.24256 	Err=1.11857
t=34 	r=3.67298 	r_E=3.29128 	Err=1.11857
t=35 	r=3.71631 	r_E=3.33929 	Err=1.11857
t=36 	r=3.75913 	r_E=3.38661 	Err=1.11857
t=37 	r=3.80147 	r_E=3.43329 	Err=1.11857
t=38 	r=3.84334 	r_E=3.47934 	Err=1.11857
t=39 	r=3.88475 	r_E=3.52478 	Err=1.11857
t=40 	r=3.92572 	r_E=3.56965 	Err=1.11857
t=41 	r=3.96626 	r_E=3.61396 	Err=1.11857
t=42 	r=4.00639 	r_E=3.65773 	Err=1.11857
t=43 	r=4.04611 	r_E=3.70099 	Err=1.11857
t=44 	r=4.08545 	r_E=3.74375 	Err=1.11857
t=45 	r=4.12441 	r_E=3.78602 	Err=1.11857
t=46 	r=4.16299 	r_E=3.82783 	Err=1.11857
t=47 	r=4.20122 	r_E=3.86918 	Err=1.11857
t=48 	r=4.23911 	r_E=3.9101 	Err=1.11857
t=49 	r=4.27665 	r_E=3.95059 	Err=1.11857
t=50 	r=4.31387 	r_E=3.99068 	Err=1.11857
t=51 	r=4.35076 	r_E=4.03036 	Err=1.11857
t=52 	r=4.38734 	r_E=4.06966 	Err=1.11857
t=53 	r=4.42362 	r_E=4.10858 	Err=1.11857
t=54 	r=4.4596 	r_E=4.14714 	Err=1.11857
t=55 	r=4.49528 	r_E=4.18534 	Err=1.11857
t=56 	r=4.53069 	r_E=4.22319 	Err=1.11857
t=57 	r=4.56582 	r_E=4.26071 	Err=1.11857
t=58 	r=4.60068 	r_E=4.2979 	Err=1.11857
t=59 	r=4.63527 	r_E=4.33478 	Err=1.11857
t=60 	r=4.6696 	r_E=4.37134 	Err=1.11857
t=61 	r=4.70369 	r_E=4.4076 	Err=1.11857
t=62 	r=4.73752 	r_E=4.44356 	Err=1.11857
t=63 	r=4.77112 	r_E=4.47923 	Err=1.11857
t=64 	r=4.80448 	r_E=4.51462 	Err=1.11857
t=65 	r=4.8376 	r_E=4.54974 	Err=1.11857
t=66 	r=4.8705 	r_E=4.58459 	Err=1.11857
t=67 	r=4.90318 	r_E=4.61917 	Err=1.11857
t=68 	r=4.93564 	r_E=4.6535 	Err=1.11857
t=69 	r=4.96789 	r_E=4.68758 	Err=1.11857
t=70 	r=4.99992 	r_E=4.72141 	Err=1.11857
t=71 	r=5.03175 	r_E=4.755 	Err=1.11857
t=72 	r=5.06338 	r_E=4.78835 	Err=1.11857
t=73 	r=5.09482 	r_E=4.82148 	Err=1.11857
t=74 	r=5.12605 	r_E=4.85437 	Err=1.11857
t=75 	r=5.1571 	r_E=4.88705 	Err=1.11857
t=76 	r=5.18796 	r_E=4.91951 	Err=1.11857
t=77 	r=5.21864 	r_E=4.95175 	Err=1.11857
t=78 	r=5.24914 	r_E=4.98379 	Err=1.11857
t=79 	r=5.27946 	r_E=5.01562 	Err=1.11857
t=80 	r=5.30961 	r_E=5.04726 	Err=1.11857
t=81 	r=5.33958 	r_E=5.07869 	Err=1.11857
t=82 	r=5.36939 	r_E=5.10993 	Err=1.11857
t=83 	r=5.39903 	r_E=5.14098 	Err=1.11857
t=84 	r=5.42851 	r_E=5.17185 	Err=1.11857
t=85 	r=5.45783 	r_E=5.20253 	Err=1.11857
t=86 	r=5.48699 	r_E=5.23303 	Err=1.11857
t=87 	r=5.51599 	r_E=5.26336 	Err=1.11857
t=88 	r=5.54485 	r_E=5.29351 	Err=1.11857
t=89 	r=5.57355 	r_E=5.32349 	Err=1.11857
t=90 	r=5.6021 	r_E=5.35331 	Err=1.11857
t=91 	r=5.63051 	r_E=5.38295 	Err=1.11857
t=92 	r=5.65878 	r_E=5.41244 	Err=1.11857
t=93 	r=5.68691 	r_E=5.44177 	Err=1.11857
t=94 	r=5.71489 	r_E=5.47093 	Err=1.11857
t=95 	r=5.74274 	r_E=5.49995 	Err=1.11857
t=96 	r=5.77046 	r_E=5.52881 	Err=1.11857
t=97 	r=5.79804 	r_E=5.55752 	Err=1.11857
t=98 	r=5.82549 	r_E=5.58609 	Err=1.11857
t=99 	r=5.85281 	r_E=5.61451 	Err=1.11857
t=100 	r=5.88 	r_E=5.64278 	Err=1.11857
t=101 	r=5.90707 	r_E=5.67092 	Err=1.11857
t=102 	r=5.93401 	r_E=5.69891 	Err=1.11857
t=103 	r=5.96083 	r_E=5.72677 	Err=1.11857
t=104 	r=5.98753 	r_E=5.7545 	Err=1.11857
t=105 	r=6.01411 	r_E=5.78209 	Err=1.11857
t=106 	r=6.04058 	r_E=5.80955 	Err=1.11857
t=107 	r=6.06692 	r_E=5.83688 	Err=1.11857
t=108 	r=6.09316 	r_E=5.86408 	Err=1.11857
t=109 	r=6.11928 	r_E=5.89116 	Err=1.11857
t=110 	r=6.14529 	r_E=5.91812 	Err=1.11857
t=111 	r=6.17118 	r_E=5.94495 	Err=1.11857
t=112 	r=6.19697 	r_E=5.97166 	Err=1.11857
t=113 	r=6.22266 	r_E=5.99825 	Err=1.11857
t=114 	r=6.24823 	r_E=6.02473 	Err=1.11857
t=115 	r=6.27371 	r_E=6.05109 	Err=1.11857
t=116 	r=6.29907 	r_E=6.07733 	Err=1.11857
t=117 	r=6.32434 	r_E=6.10346 	Err=1.11857
t=118 	r=6.34951 	r_E=6.12948 	Err=1.11857
t=119 	r=6.37457 	r_E=6.15539 	Err=1.11857
t=120 	r=6.39954 	r_E=6.1812 	Err=1.11857
t=121 	r=6.42441 	r_E=6.20689 	Err=1.11857
t=122 	r=6.44918 	r_E=6.23248 	Err=1.11857
t=123 	r=6.47386 	r_E=6.25796 	Err=1.11857
t=124 	r=6.49844 	r_E=6.28335 	Err=1.11857
t=125 	r=6.52294 	r_E=6.30862 	Err=1.11857
t=126 	r=6.54733 	r_E=6.3338 	Err=1.11857
t=127 	r=6.57164 	r_E=6.35888 	Err=1.11857
t=128 	r=6.59586 	r_E=6.38386 	Err=1.11857
t=129 	r=6.61999 	r_E=6.40874 	Err=1.11857
t=130 	r=6.64403 	r_E=6.43353 	Err=1.11857
t=131 	r=6.66799 	r_E=6.45822 	Err=1.11857
t=132 	r=6.69186 	r_E=6.48282 	Err=1.11857
t=133 	r=6.71564 	r_E=6.50732 	Err=1.11857
t=134 	r=6.73934 	r_E=6.53173 	Err=1.11857
t=135 	r=6.76295 	r_E=6.55605 	Err=1.11857
t=136 	r=6.78649 	r_E=6.58028 	Err=1.11857
t=137 	r=6.80994 	r_E=6.60443 	Err=1.11857
t=138 	r=6.83331 	r_E=6.62848 	Err=1.11857
t=139 	r=6.8566 	r_E=6.65245 	Err=1.11857
t=140 	r=6.87981 	r_E=6.67633 	Err=1.11857
t=141 	r=6.90295 	r_E=6.70013 	Err=1.11857
t=142 	r=6.926 	r_E=6.72384 	Err=1.11857
t=143 	r=6.94898 	r_E=6.74747 	Err=1.11857
t=144 	r=6.97189 	r_E=6.77101 	Err=1.11857
t=145 	r=6.99471 	r_E=6.79448 	Err=1.11857
t=146 	r=7.01747 	r_E=6.81786 	Err=1.11857
t=147 	r=7.04015 	r_E=6.84117 	Err=1.11857
t=148 	r=7.06275 	r_E=6.86439 	Err=1.11857
t=149 	r=7.08529 	r_E=6.88754 	Err=1.11857
t=150 	r=7.10775 	r_E=6.91061 	Err=1.11857
t=151 	r=7.13014 	r_E=6.9336 	Err=1.11857
t=152 	r=7.15246 	r_E=6.95652 	Err=1.11857
t=153 	r=7.17472 	r_E=6.97936 	Err=1.11857
t=154 	r=7.1969 	r_E=7.00212 	Err=1.11857
t=155 	r=7.21901 	r_E=7.02482 	Err=1.11857
t=156 	r=7.24106 	r_E=7.04744 	Err=1.11857
t=157 	r=7.26304 	r_E=7.06998 	Err=1.11857
t=158 	r=7.28495 	r_E=7.09246 	Err=1.11857
t=159 	r=7.3068 	r_E=7.11486 	Err=1.11857
t=160 	r=7.32858 	r_E=7.1372 	Err=1.11857
t=161 	r=7.3503 	r_E=7.15946 	Err=1.11857
t=162 	r=7.37195 	r_E=7.18166 	Err=1.11857
t=163 	r=7.39354 	r_E=7.20378 	Err=1.11857
t=164 	r=7.41507 	r_E=7.22584 	Err=1.11857
t=165 	r=7.43653 	r_E=7.24784 	Err=1.11857
t=166 	r=7.45793 	r_E=7.26976 	Err=1.11857
t=167 	r=7.47927 	r_E=7.29162 	Err=1.11857
t=168 	r=7.50055 	r_E=7.31342 	Err=1.11857
t=169 	r=7.52177 	r_E=7.33515 	Err=1.11857
t=170 	r=7.54293 	r_E=7.35681 	Err=1.11857
t=171 	r=7.56403 	r_E=7.37841 	Err=1.11857
t=172 	r=7.58507 	r_E=7.39995 	Err=1.11857
t=173 	r=7.60605 	r_E=7.42143 	Err=1.11857
t=174 	r=7.62698 	r_E=7.44284 	Err=1.11857
t=175 	r=7.64785 	r_E=7.4642 	Err=1.11857
t=176 	r=7.66866 	r_E=7.48549 	Err=1.11857
t=177 	r=7.68941 	r_E=7.50672 	Err=1.11857
t=178 	r=7.71011 	r_E=7.52789 	Err=1.11857
t=179 	r=7.73075 	r_E=7.549 	Err=1.11857
t=180 	r=7.75134 	r_E=7.57006 	Err=1.11857
t=181 	r=7.77187 	r_E=7.59105 	Err=1.11857
t=182 	r=7.79235 	r_E=7.61199 	Err=1.11857
t=183 	r=7.81277 	r_E=7.63287 	Err=1.11857
t=184 	r=7.83314 	r_E=7.65369 	Err=1.11857
t=185 	r=7.85346 	r_E=7.67446 	Err=1.11857
t=186 	r=7.87373 	r_E=7.69517 	Err=1.11857
t=187 	r=7.89394 	r_E=7.71582 	Err=1.11857
t=188 	r=7.9141 	r_E=7.73642 	Err=1.11857
t=189 	r=7.93421 	r_E=7.75697 	Err=1.11857
t=190 	r=7.95427 	r_E=7.77746 	Err=1.11857
t=191 	r=7.97428 	r_E=7.7979 	Err=1.11857
