tau=0.5
t=0 	r=1 	x_E=1 	Err=0
t=48.5 	r=4.06832 	r_E=4.05438 	Err=0.0149418
t=49 	r=4.08788 	r_E=4.07396 	Err=0.0149418
t=49.5 	r=4.10735 	r_E=4.09345 	Err=0.0149418
t=50 	r=4.12672 	r_E=4.11285 	Err=0.0149418
t=50.5 	r=4.14601 	r_E=4.13215 	Err=0.0149418
t=51 	r=4.1652 	r_E=4.15136 	Err=0.0149418
t=51.5 	r=4.18431 	r_E=4.17049 	Err=0.0149418
t=52 	r=4.20332 	r_E=4.18952 	Err=0.0149418
t=52.5 	r=4.22226 	r_E=4.20848 	Err=0.0149418
t=53 	r=4.2411 	r_E=4.22734 	Err=0.0149418
t=53.5 	r=4.25987 	r_E=4.24613 	Err=0.0149418
t=54 	r=4.27855 	r_E=4.26483 	Err=0.0149418
t=54.5 	r=4.29715 	r_E=4.28344 	Err=0.0149418
t=55 	r=4.31566 	r_E=4.30198 	Err=0.0149418
t=55.5 	r=4.3341 	r_E=4.32044 	Err=0.0149418
t=56 	r=4.35246 	r_E=4.33882 	Err=0.0149418
t=56.5 	r=4.37075 	r_E=4.35712 	Err=0.0149418
t=57 	r=4.38895 	r_E=4.37535 	Err=0.0149418
t=57.5 	r=4.40709 	r_E=4.3935 	Err=0.0149418
t=58 	r=4.42514 	r_E=4.41157 	Err=0.0149418
t=58.5 	r=4.44313 	r_E=4.42957 	Err=0.0149418
t=59 	r=4.46104 	r_E=4.4475 	Err=0.0149418
t=59.5 	r=4.47887 	r_E=4.46536 	Err=0.0149418
t=60 	r=4.49664 	r_E=4.48315 	Err=0.0149418
t=60.5 	r=4.51434 	r_E=4.50086 	Err=0.0149418
t=61 	r=4.53197 	r_E=4.51851 	Err=0.0149418
t=61.5 	r=4.54953 	r_E=4.53608 	Err=0.0149418
t=62 	r=4.56702 	r_E=4.55359 	Err=0.0149418
t=62.5 	r=4.58444 	r_E=4.57104 	Err=0.0149418
t=63 	r=4.6018 	r_E=4.58841 	Err=0.0149418
t=63.5 	r=4.61909 	r_E=4.60572 	Err=0.0149418
t=64 	r=4.63632 	r_E=4.62297 	Err=0.0149418
t=64.5 	r=4.65348 	r_E=4.64015 	Err=0.0149418
t=65 	r=4.67058 	r_E=4.65727 	Err=0.0149418
t=65.5 	r=4.68762 	r_E=4.67432 	Err=0.0149418
t=66 	r=4.7046 	r_E=4.69132 	Err=0.0149418
t=66.5 	r=4.72151 	r_E=4.70825 	Err=0.0149418
t=67 	r=4.73837 	r_E=4.72512 	Err=0.0149418
t=67.5 	r=4.75516 	r_E=4.74193 	Err=0.0149418
t=68 	r=4.7719 	r_E=4.75868 	Err=0.0149418
t=68.5 	r=4.78857 	r_E=4.77538 	Err=0.0149418
t=69 	r=4.80519 	r_E=4.79201 	Err=0.0149418
t=69.5 	r=4.82175 	r_E=4.80859 	Err=0.0149418
t=70 	r=4.83826 	r_E=4.82511 	Err=0.0149418
t=70.5 	r=4.8547 	r_E=4.84157 	Err=0.0149418
t=71 	r=4.8711 	r_E=4.85798 	Err=0.0149418
t=71.5 	r=4.88743 	r_E=4.87434 	Err=0.0149418
t=72 	r=4.90371 	r_E=4.89064 	Err=0.0149418
t=72.5 	r=4.91994 	r_E=4.90688 	Err=0.0149418
t=73 	r=4.93612 	r_E=4.92307 	Err=0.0149418
t=73.5 	r=4.95224 	r_E=4.93921 	Err=0.0149418
t=74 	r=4.96831 	r_E=4.95529 	Err=0.0149418
t=74.5 	r=4.98432 	r_E=4.97133 	Err=0.0149418
t=75 	r=5.00029 	r_E=4.98731 	Err=0.0149418
