tau=0.01
t=0 	r=0.1 	x_E=0.1 	Err=0
t=0.01 	r=0.115915 	r_E=0.114818 	Err=0.00109782
t=0.02 	r=0.129646 	r_E=0.12793 	Err=0.00171531
t=0.03 	r=0.141922 	r_E=0.139819 	Err=0.00210309
t=0.04 	r=0.153136 	r_E=0.150773 	Err=0.00236349
t=0.05 	r=0.163529 	r_E=0.160983 	Err=0.00254629
t=0.06 	r=0.173262 	r_E=0.170583 	Err=0.0026786
t=0.07 	r=0.182448 	r_E=0.179671 	Err=0.00277644
t=0.08 	r=0.191171 	r_E=0.188321 	Err=0.00284986
t=0.09 	r=0.199496 	r_E=0.196591 	Err=0.00290545
t=0.1 	r=0.207474 	r_E=0.204526 	Err=0.0029477
t=0.11 	r=0.215145 	r_E=0.212165 	Err=0.0029798
t=0.12 	r=0.222543 	r_E=0.219539 	Err=0.00300403
t=0.13 	r=0.229694 	r_E=0.226672 	Err=0.00302207
t=0.14 	r=0.236623 	r_E=0.233588 	Err=0.00303519
t=0.15 	r=0.243349 	r_E=0.240305 	Err=0.00304437
t=0.16 	r=0.24989 	r_E=0.246839 	Err=0.00305035
t=0.17 	r=0.256259 	r_E=0.253205 	Err=0.00305372
t=0.18 	r=0.262469 	r_E=0.259414 	Err=0.00305496
t=0.19 	r=0.268533 	r_E=0.265479 	Err=0.00305496
t=0.2 	r=0.27446 	r_E=0.271407 	Err=0.00305496
t=0.21 	r=0.280259 	r_E=0.277209 	Err=0.00305496
t=0.22 	r=0.285938 	r_E=0.282893 	Err=0.00305496
t=0.23 	r=0.291504 	r_E=0.288464 	Err=0.00305496
t=0.24 	r=0.296963 	r_E=0.293929 	Err=0.00305496
t=0.25 	r=0.302323 	r_E=0.299295 	Err=0.00305496
t=0.26 	r=0.307587 	r_E=0.304566 	Err=0.00305496
t=0.27 	r=0.312762 	r_E=0.309748 	Err=0.00305496
t=0.28 	r=0.31785 	r_E=0.314844 	Err=0.00305496
t=0.29 	r=0.322857 	r_E=0.319859 	Err=0.00305496
t=0.3 	r=0.327787 	r_E=0.324797 	Err=0.00305496
t=0.31 	r=0.332642 	r_E=0.329661 	Err=0.00305496
t=0.32 	r=0.337427 	r_E=0.334454 	Err=0.00305496
t=0.33 	r=0.342144 	r_E=0.339179 	Err=0.00305496
t=0.34 	r=0.346795 	r_E=0.343839 	Err=0.00305496
t=0.35 	r=0.351385 	r_E=0.348437 	Err=0.00305496
t=0.36 	r=0.355914 	r_E=0.352975 	Err=0.00305496
t=0.37 	r=0.360386 	r_E=0.357456 	Err=0.00305496
t=0.38 	r=0.364802 	r_E=0.361881 	Err=0.00305496
t=0.39 	r=0.369165 	r_E=0.366252 	Err=0.00305496
t=0.4 	r=0.373476 	r_E=0.370572 	Err=0.00305496
t=0.41 	r=0.377738 	r_E=0.374843 	Err=0.00305496
t=0.42 	r=0.381951 	r_E=0.379065 	Err=0.00305496
t=0.43 	r=0.386118 	r_E=0.38324 	Err=0.00305496
t=0.44 	r=0.39024 	r_E=0.387371 	Err=0.00305496
t=0.45 	r=0.394318 	r_E=0.391458 	Err=0.00305496
t=0.46 	r=0.398354 	r_E=0.395503 	Err=0.00305496
t=0.47 	r=0.40235 	r_E=0.399507 	Err=0.00305496
t=0.48 	r=0.406305 	r_E=0.403471 	Err=0.00305496
t=0.49 	r=0.410222 	r_E=0.407396 	Err=0.00305496
t=0.5 	r=0.414102 	r_E=0.411285 	Err=0.00305496
t=0.51 	r=0.417945 	r_E=0.415136 	Err=0.00305496
t=0.52 	r=0.421754 	r_E=0.418952 	Err=0.00305496
t=0.53 	r=0.425527 	r_E=0.422734 	Err=0.00305496
t=0.54 	r=0.429267 	r_E=0.426483 	Err=0.00305496
t=0.55 	r=0.432975 	r_E=0.430198 	Err=0.00305496
t=0.56 	r=0.436651 	r_E=0.433882 	Err=0.00305496
t=0.57 	r=0.440296 	r_E=0.437535 	Err=0.00305496
t=0.58 	r=0.44391 	r_E=0.441157 	Err=0.00305496
t=0.59 	r=0.447496 	r_E=0.44475 	Err=0.00305496
