tau=0.02
t=0 	x=0.1 	r_E=0.1 	Err=0
t=0.02 	r=0.127933 	r_E=0.12793 	Err=2.65337e-06
t=0.04 	r=0.150775 	r_E=0.150773 	Err=2.6539e-06
t=0.06 	r=0.170586 	r_E=0.170583 	Err=2.6539e-06
t=0.08 	r=0.188323 	r_E=0.188321 	Err=2.6539e-06
t=0.1 	r=0.204528 	r_E=0.204526 	Err=2.6539e-06
t=0.12 	r=0.219541 	r_E=0.219539 	Err=2.6539e-06
t=0.14 	r=0.23359 	r_E=0.233588 	Err=2.6539e-06
t=0.16 	r=0.246841 	r_E=0.246839 	Err=2.6539e-06
t=0.18 	r=0.259416 	r_E=0.259414 	Err=2.6539e-06
t=0.2 	r=0.271409 	r_E=0.271407 	Err=2.6539e-06
t=0.22 	r=0.282894 	r_E=0.282893 	Err=2.6539e-06
t=0.24 	r=0.293931 	r_E=0.293929 	Err=2.6539e-06
t=0.26 	r=0.304568 	r_E=0.304566 	Err=2.6539e-06
t=0.28 	r=0.314845 	r_E=0.314844 	Err=2.6539e-06
t=0.3 	r=0.324798 	r_E=0.324797 	Err=2.6539e-06
t=0.32 	r=0.334455 	r_E=0.334454 	Err=2.6539e-06
t=0.34 	r=0.34384 	r_E=0.343839 	Err=2.6539e-06
t=0.36 	r=0.352977 	r_E=0.352975 	Err=2.6539e-06
t=0.38 	r=0.361882 	r_E=0.361881 	Err=2.6539e-06
t=0.4 	r=0.370574 	r_E=0.370572 	Err=2.6539e-06
t=0.42 	r=0.379066 	r_E=0.379065 	Err=2.6539e-06
t=0.44 	r=0.387372 	r_E=0.387371 	Err=2.6539e-06
t=0.46 	r=0.395504 	r_E=0.395503 	Err=2.6539e-06
t=0.48 	r=0.403472 	r_E=0.403471 	Err=2.6539e-06
t=0.5 	r=0.411286 	r_E=0.411285 	Err=2.6539e-06
t=0.52 	r=0.418953 	r_E=0.418952 	Err=2.6539e-06
t=0.54 	r=0.426484 	r_E=0.426483 	Err=2.6539e-06
t=0.56 	r=0.433883 	r_E=0.433882 	Err=2.6539e-06
t=0.58 	r=0.441158 	r_E=0.441157 	Err=2.6539e-06
t=0.6 	r=0.448316 	r_E=0.448315 	Err=2.6539e-06
t=0.62 	r=0.45536 	r_E=0.455359 	Err=2.6539e-06
t=0.64 	r=0.462298 	r_E=0.462297 	Err=2.6539e-06
t=0.66 	r=0.469133 	r_E=0.469132 	Err=2.6539e-06
t=0.68 	r=0.475869 	r_E=0.475868 	Err=2.6539e-06
t=0.7 	r=0.482512 	r_E=0.482511 	Err=2.6539e-06
t=0.72 	r=0.489064 	r_E=0.489064 	Err=2.6539e-06
t=0.74 	r=0.49553 	r_E=0.495529 	Err=2.6539e-06
t=0.76 	r=0.501913 	r_E=0.501912 	Err=2.6539e-06
t=0.78 	r=0.508215 	r_E=0.508214 	Err=2.6539e-06
t=0.8 	r=0.51444 	r_E=0.514439 	Err=2.6539e-06
t=0.82 	r=0.520591 	r_E=0.52059 	Err=2.6539e-06
t=0.84 	r=0.52667 	r_E=0.526669 	Err=2.6539e-06
t=0.86 	r=0.532679 	r_E=0.532679 	Err=2.6539e-06
t=0.88 	r=0.538622 	r_E=0.538621 	Err=2.6539e-06
t=0.9 	r=0.5445 	r_E=0.544499 	Err=2.6539e-06
t=0.92 	r=0.550314 	r_E=0.550314 	Err=2.6539e-06
t=0.94 	r=0.556068 	r_E=0.556068 	Err=2.6539e-06
t=0.96 	r=0.561764 	r_E=0.561763 	Err=2.6539e-06
t=0.98 	r=0.567402 	r_E=0.567401 	Err=2.6539e-06
t=1 	r=0.572984 	r_E=0.572983 	Err=2.6539e-06
t=1.02 	r=0.578513 	r_E=0.578512 	Err=2.6539e-06
t=1.04 	r=0.583989 	r_E=0.583988 	Err=2.6539e-06
t=1.06 	r=0.589414 	r_E=0.589414 	Err=2.6539e-06
t=1.08 	r=0.59479 	r_E=0.59479 	Err=2.6539e-06
