tau=1
t=0 	x=0.1 	r_E=0.1 	Err=0
t=1 	r=0.733557 	r_E=0.572983 	Err=0.160573
t=2 	r=0.925441 	r_E=0.804127 	Err=0.160573
t=3 	r=1.08386 	r_E=0.982308 	Err=0.160573
t=4 	r=1.22191 	r_E=1.1328 	Err=0.160573
t=5 	r=1.34587 	r_E=1.26552 	Err=0.160573
t=6 	r=1.45935 	r_E=1.38559 	Err=0.160573
t=7 	r=1.56461 	r_E=1.49605 	Err=0.160573
t=8 	r=1.66322 	r_E=1.5989 	Err=0.160573
t=9 	r=1.75631 	r_E=1.69552 	Err=0.160573
t=10 	r=1.8447 	r_E=1.78692 	Err=0.160573
t=11 	r=1.92905 	r_E=1.87388 	Err=0.160573
t=12 	r=2.00986 	r_E=1.95697 	Err=0.160573
t=13 	r=2.08755 	r_E=2.03667 	Err=0.160573
t=14 	r=2.16245 	r_E=2.11337 	Err=0.160573
t=15 	r=2.23483 	r_E=2.18738 	Err=0.160573
t=16 	r=2.30495 	r_E=2.25897 	Err=0.160573
t=17 	r=2.37299 	r_E=2.32836 	Err=0.160573
t=18 	r=2.43914 	r_E=2.39574 	Err=0.160573
t=19 	r=2.50354 	r_E=2.46128 	Err=0.160573
t=20 	r=2.56633 	r_E=2.52511 	Err=0.160573
t=21 	r=2.62761 	r_E=2.58737 	Err=0.160573
t=22 	r=2.6875 	r_E=2.64817 	Err=0.160573
t=23 	r=2.74608 	r_E=2.70761 	Err=0.160573
t=24 	r=2.80344 	r_E=2.76576 	Err=0.160573
t=25 	r=2.85965 	r_E=2.82272 	Err=0.160573
t=26 	r=2.91477 	r_E=2.87855 	Err=0.160573
t=27 	r=2.96887 	r_E=2.93332 	Err=0.160573
t=28 	r=3.022 	r_E=2.98709 	Err=0.160573
t=29 	r=3.07422 	r_E=3.0399 	Err=0.160573
t=30 	r=3.12556 	r_E=3.09181 	Err=0.160573
t=31 	r=3.17607 	r_E=3.14287 	Err=0.160573
t=32 	r=3.22579 	r_E=3.1931 	Err=0.160573
t=33 	r=3.27476 	r_E=3.24256 	Err=0.160573
t=34 	r=3.32301 	r_E=3.29128 	Err=0.160573
t=35 	r=3.37056 	r_E=3.33929 	Err=0.160573
t=36 	r=3.41745 	r_E=3.38661 	Err=0.160573
t=37 	r=3.46371 	r_E=3.43329 	Err=0.160573
t=38 	r=3.50936 	r_E=3.47934 	Err=0.160573
t=39 	r=3.55442 	r_E=3.52478 	Err=0.160573
t=40 	r=3.59892 	r_E=3.56965 	Err=0.160573
t=41 	r=3.64287 	r_E=3.61396 	Err=0.160573
t=42 	r=3.68631 	r_E=3.65773 	Err=0.160573
t=43 	r=3.72923 	r_E=3.70099 	Err=0.160573
t=44 	r=3.77167 	r_E=3.74375 	Err=0.160573
