tau=0.5
t=0 	x=0.1 	r_E=0.1 	Err=0
t=0.5 	r=0.457798 	r_E=0.411285 	Err=0.0465131
t=1 	r=0.60726 	r_E=0.572983 	Err=0.0465131
t=1.5 	r=0.726583 	r_E=0.698187 	Err=0.0465131
t=2 	r=0.828903 	r_E=0.804127 	Err=0.0465131
t=2.5 	r=0.91991 	r_E=0.89765 	Err=0.0465131
t=3 	r=1.00269 	r_E=0.982308 	Err=0.0465131
t=3.5 	r=1.07914 	r_E=1.06023 	Err=0.0465131
t=4 	r=1.15052 	r_E=1.1328 	Err=0.0465131
t=4.5 	r=1.21773 	r_E=1.201 	Err=0.0465131
t=5 	r=1.28141 	r_E=1.26552 	Err=0.0465131
t=5.5 	r=1.34207 	r_E=1.32692 	Err=0.0465131
t=6 	r=1.40011 	r_E=1.38559 	Err=0.0465131
t=6.5 	r=1.45584 	r_E=1.44188 	Err=0.0465131
t=7 	r=1.50951 	r_E=1.49605 	Err=0.0465131
t=7.5 	r=1.56134 	r_E=1.54833 	Err=0.0465131
t=8 	r=1.6115 	r_E=1.5989 	Err=0.0465131
t=8.5 	r=1.66015 	r_E=1.64792 	Err=0.0465131
t=9 	r=1.70741 	r_E=1.69552 	Err=0.0465131
t=9.5 	r=1.7534 	r_E=1.74182 	Err=0.0465131
t=10 	r=1.79821 	r_E=1.78692 	Err=0.0465131
t=10.5 	r=1.84193 	r_E=1.83092 	Err=0.0465131
t=11 	r=1.88464 	r_E=1.87388 	Err=0.0465131
t=11.5 	r=1.9264 	r_E=1.91587 	Err=0.0465131
t=12 	r=1.96728 	r_E=1.95697 	Err=0.0465131
t=12.5 	r=2.00732 	r_E=1.99722 	Err=0.0465131
t=13 	r=2.04658 	r_E=2.03667 	Err=0.0465131
t=13.5 	r=2.0851 	r_E=2.07538 	Err=0.0465131
t=14 	r=2.12292 	r_E=2.11337 	Err=0.0465131
t=14.5 	r=2.16008 	r_E=2.1507 	Err=0.0465131
t=15 	r=2.19661 	r_E=2.18738 	Err=0.0465131
t=15.5 	r=2.23255 	r_E=2.22347 	Err=0.0465131
t=16 	r=2.26791 	r_E=2.25897 	Err=0.0465131
t=16.5 	r=2.30273 	r_E=2.29393 	Err=0.0465131
t=17 	r=2.33703 	r_E=2.32836 	Err=0.0465131
t=17.5 	r=2.37084 	r_E=2.36229 	Err=0.0465131
t=18 	r=2.40417 	r_E=2.39574 	Err=0.0465131
t=18.5 	r=2.43705 	r_E=2.42873 	Err=0.0465131
t=19 	r=2.46948 	r_E=2.46128 	Err=0.0465131
t=19.5 	r=2.5015 	r_E=2.4934 	Err=0.0465131
t=20 	r=2.53311 	r_E=2.52511 	Err=0.0465131
t=20.5 	r=2.56433 	r_E=2.55643 	Err=0.0465131
t=21 	r=2.59518 	r_E=2.58737 	Err=0.0465131
t=21.5 	r=2.62567 	r_E=2.61795 	Err=0.0465131
t=22 	r=2.6558 	r_E=2.64817 	Err=0.0465131
t=22.5 	r=2.6856 	r_E=2.67805 	Err=0.0465131
t=23 	r=2.71507 	r_E=2.70761 	Err=0.0465131
t=23.5 	r=2.74422 	r_E=2.73684 	Err=0.0465131
t=24 	r=2.77307 	r_E=2.76576 	Err=0.0465131
t=24.5 	r=2.80162 	r_E=2.79439 	Err=0.0465131
t=25 	r=2.82988 	r_E=2.82272 	Err=0.0465131
t=25.5 	r=2.85786 	r_E=2.85077 	Err=0.0465131
t=26 	r=2.88557 	r_E=2.87855 	Err=0.0465131
t=26.5 	r=2.91302 	r_E=2.90606 	Err=0.0465131
t=27 	r=2.94021 	r_E=2.93332 	Err=0.0465131
t=27.5 	r=2.96715 	r_E=2.96032 	Err=0.0465131
t=28 	r=2.99385 	r_E=2.98709 	Err=0.0465131
t=28.5 	r=3.02031 	r_E=3.01361 	Err=0.0465131
t=29 	r=3.04655 	r_E=3.0399 	Err=0.0465131
t=29.5 	r=3.07256 	r_E=3.06597 	Err=0.0465131
t=30 	r=3.09835 	r_E=3.09181 	Err=0.0465131
t=30.5 	r=3.12393 	r_E=3.11744 	Err=0.0465131
t=31 	r=3.1493 	r_E=3.14287 	Err=0.0465131
t=31.5 	r=3.17446 	r_E=3.16808 	Err=0.0465131
t=32 	r=3.19943 	r_E=3.1931 	Err=0.0465131
t=32.5 	r=3.22421 	r_E=3.21793 	Err=0.0465131
t=33 	r=3.2488 	r_E=3.24256 	Err=0.0465131
t=33.5 	r=3.2732 	r_E=3.26701 	Err=0.0465131
t=34 	r=3.29742 	r_E=3.29128 	Err=0.0465131
t=34.5 	r=3.32147 	r_E=3.31537 	Err=0.0465131
t=35 	r=3.34534 	r_E=3.33929 	Err=0.0465131
t=35.5 	r=3.36904 	r_E=3.36303 	Err=0.0465131
t=36 	r=3.39258 	r_E=3.38661 	Err=0.0465131
t=36.5 	r=3.41596 	r_E=3.41003 	Err=0.0465131
t=37 	r=3.43918 	r_E=3.43329 	Err=0.0465131
t=37.5 	r=3.46224 	r_E=3.45639 	Err=0.0465131
t=38 	r=3.48515 	r_E=3.47934 	Err=0.0465131
t=38.5 	r=3.5079 	r_E=3.50213 	Err=0.0465131
t=39 	r=3.53052 	r_E=3.52478 	Err=0.0465131
t=39.5 	r=3.55298 	r_E=3.54729 	Err=0.0465131
t=40 	r=3.57531 	r_E=3.56965 	Err=0.0465131
t=40.5 	r=3.5975 	r_E=3.59187 	Err=0.0465131
t=41 	r=3.61955 	r_E=3.61396 	Err=0.0465131
t=41.5 	r=3.64147 	r_E=3.63591 	Err=0.0465131
t=42 	r=3.66326 	r_E=3.65773 	Err=0.0465131
t=42.5 	r=3.68492 	r_E=3.67943 	Err=0.0465131
t=43 	r=3.70645 	r_E=3.70099 	Err=0.0465131
t=43.5 	r=3.72786 	r_E=3.72243 	Err=0.0465131
t=44 	r=3.74915 	r_E=3.74375 	Err=0.0465131
t=44.5 	r=3.77031 	r_E=3.76494 	Err=0.0465131
t=45 	r=3.79136 	r_E=3.78602 	Err=0.0465131
t=45.5 	r=3.81229 	r_E=3.80698 	Err=0.0465131
t=46 	r=3.83311 	r_E=3.82783 	Err=0.0465131
t=46.5 	r=3.85381 	r_E=3.84856 	Err=0.0465131
t=47 	r=3.87441 	r_E=3.86918 	Err=0.0465131
t=47.5 	r=3.89489 	r_E=3.88969 	Err=0.0465131
