tau=0.5
t=54.5 	x=0 	x_E=80.2786 	Err=0.697459
t=55 	x=0 	x_E=81.6987 	Err=0.741467
t=55.5 	x=0 	x_E=83.167 	Err=0.79066
t=56 	x=0 	x_E=84.6887 	Err=0.84605
t=56.5 	x=0 	x_E=86.2702 	Err=0.908943
t=57 	x=0 	x_E=87.919 	Err=0.981045
t=57.5 	x=0 	x_E=89.6447 	Err=1.06464
t=58 	x=0 	x_E=91.459 	Err=1.16287
t=58.5 	x=0 	x_E=93.3772 	Err=1.28016
t=59 	x=0 	x_E=95.4196 	Err=1.42301
t=59.5 	x=0 	x_E=97.6139 	Err=1.60138
t=60 	x=0 	x_E=100 	Err=1.83141
